name,phone,company,postcode,yo_area,pms,segment,tier,website,notes
Bishopthorpe Dental Centre,01904 703427,Bishopthorpe Dental Centre,YO23 2QQ,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.woodthorpedentalcentre.co.uk,website unreachable
Copmanthorpe Dental Centre,01904 706291,Copmanthorpe Dental Centre,YO23 3XT,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.woodthorpedentalcentre.co.uk,website unreachable
Blossom Cosmetic Clinic,0781 4741402,Blossom Cosmetic Clinic,YO24 1AP,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
The Mount Dental Practice,01904 623436,The Mount Dental Practice,YO24 1AR,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Woodthorpe Dental Centre,01904 706795,Woodthorpe Dental Centre,YO24 2RQ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.woodthorpedentalcentre.co.uk,website unreachable
Acomb Dental Practice,01904 794021,Acomb Dental Practice,YO24 3BZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Cornlands Road Clinic (Priory Medical Group),01423 885959,Cornlands Road Clinic (Priory Medical Group),YO24 3WX,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Acorn Dental Practice,01904 789876,Acorn Dental Practice,YO24 4LZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.acorndental.co.uk,
Lilac House Specialist Dental Practice,01904 520000,Lilac House Specialist Dental Practice,YO24 4LZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
The Beeches Dental Practice,01904 798315,The Beeches Dental Practice,YO24 4LZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Alpha Windmill (York) Limited,01904 789152,Alpha Windmill (York) Limited,YO26 5PA,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.alphadental.com,
Manor House Dental Practice,01904 797434,Manor House Dental Practice,YO26 5RU,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.manorhousedentalpractice.co.uk,
Perfect Smile Clinic - York,01904 786969,Perfect Smile Clinic - York,YO26 6AR,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Poppleton Dental Practice,01904 781987,Poppleton Dental Practice,YO26 6DD,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.poppletondentalpractice.co.uk,
Jorvik Dental Practice,01904 340640,Jorvik Dental Practice,YO26 6GA,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.jorvikdental.co.uk,
PortmanDentex York,01904 623687,PortmanDentex York,YO30 5XY,York north/Clifton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.freshsmiles.co.uk,
Clifton Dental Practice Limited,01904 659023,Clifton Dental Practice Limited,YO30 6AW,York north/Clifton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.cliftondentalpractice.co.uk,
York Orthodontics,01904 671772,York Orthodontics,YO30 7BH,York north/Clifton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.yorkorthodontics.co.uk,
Clock House Dental,01904 422918,Clock House Dental,YO31 1AN,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Monkgate Health Centre,01423 885959,Monkgate Health Centre,YO31 7PB,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Yorkshire Dental Suite York,01904 211251,Yorkshire Dental Suite York,YO31 8SB,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Huntington Dental,01904 632295,Huntington Dental,YO31 9HU,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
The Dental Hub York,01904 632295,The Dental Hub York,YO31 9HU,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Wortley House Dental Practice,01904 763458,Wortley House Dental Practice,YO32 2HX,York north/Haxby,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.carholmedentalgroup.co.uk,
Strensall Dental Practice,01904 490060,Strensall Dental Practice,YO32 5AA,York north/Haxby,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.richardfisherdental.co.uk,website unreachable
HMP Millsike,0770 9176412,HMP Millsike,YO41 1FZ,York east/Dunnington,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
HMP Full Sutton,01759 475100,HMP Full Sutton,YO41 1PS,York east/Dunnington,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.gov.uk,
Mydentist - North Marine Road - Scarborough,01723 373186,Mydentist - North Marine Road - Scarborough,YO12 7HT,Scarborough,MyDentist corporate,Unknown PMS - manual check,Tier 4 - Corporate chain (lower priority),https://www.mydentist.co.uk,
Mydentist - Quay Road - Bridlington,01262 673277,Mydentist - Quay Road - Bridlington,YO16 4EL,Bridlington,MyDentist corporate,Unknown PMS - manual check,Tier 4 - Corporate chain (lower priority),https://www.mydentist.co.uk,
