name,phone,company,postcode,ls_area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Nursery Lane Dental,01132 686508,Nursery Lane Dental,LS17 7AQ,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Primley Park Dentistry,01132 685645,Primley Park Dentistry,LS17 7HN,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.primleypark.com,
High Ash Dental Practice,01132 688391,High Ash Dental Practice,LS17 8RE,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shadwell Dental Care Limited,01132 371191,Shadwell Dental Care Limited,LS17 8TJ,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shadwelldentalcare.co.uk,
Dental Excellence Harewood,01132 181919,Dental Excellence Harewood,LS17 9LQ,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aesthetique Dental Care,01132 458066,Aesthetique Dental Care,LS2 7EQ,Leeds city centre east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Quarry House Dental Practice Partnership,0773 8076534,Quarry House Dental Practice Partnership,LS2 7PD,Leeds city centre east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
White 32 | Dental,01133 474000,White 32 | Dental,LS2 8DZ,Leeds city centre east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.white32.com,
Leeds Dental Institute,01132 440111,Leeds Dental Institute,LS2 9LU,Leeds city centre east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.leedsteachinghospitals.com/patients/aboutus/hospitals/dental_institute.php,website unreachable
Clarendon Dental Spa,01132 459004,Clarendon Dental Spa,LS3 1AD,Burley/Kirkstall,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Kirkstall Road Dental Practice,0779 2722679,Kirkstall Road Dental Practice,LS4 2HD,Kirkstall/Burley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Burley House Dental Care,01132 746160,Burley House Dental Care,LS4 2NZ,Kirkstall/Burley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Headingley Dental Care Centre,01132 785630,Headingley Dental Care Centre,LS6 1EG,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Deu Dental Headingley,01132 784000,Deu Dental Headingley,LS6 2AD,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.deuhealth.co.uk,
Tracey Black's Dental Surgery,01132 788998,Tracey Black's Dental Surgery,LS6 3AN,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Langdale Dental,01132 751249,Langdale Dental,LS6 3HA,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Clinic Leeds (Headingley),01274 531567,Smile Clinic Leeds (Headingley),LS6 3HU,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LS1dental,01132 786623,LS1dental,LS6 3PX,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ls1dental.com,website unreachable
Meanwood Dental Practice,01132 785966,Meanwood Dental Practice,LS6 4AY,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Burton Croft Dental Care,01132 741780,Burton Croft Dental Care,LS6 4DN,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stonegate Dental,01132 930380,Stonegate Dental,LS6 4JE,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Meanwood Dental Ltd,01132 304010,Meanwood Dental Ltd,LS7 2PW,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stainbeck Dental Surgery,01132 304010,Stainbeck Dental Surgery,LS7 2PW,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Leeds Urgent Dental Centre,01217 728886,Leeds Urgent Dental Centre,LS7 3JB,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smiles on Harrogate Road,01133 000202,Smiles on Harrogate Road,LS7 3PD,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aura Dental Studio,0790 0020903,Aura Dental Studio,LS7 3RD,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chapeltown Dental Pain and Stain Removal Clinic,0775 8230223,Chapeltown Dental Pain and Stain Removal Clinic,LS7 4HP,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Montreal Dental Care,01132 621663,Montreal Dental Care,LS7 4LF,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Yorkshire Orthodontics Leeds,01943 465443,Yorkshire Orthodontics Leeds,LS8 1BW,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Precious Dental Care,01132 667370,Precious Dental Care,LS8 1NU,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Perfect Smile Clinic,01132 486777,Perfect Smile Clinic,LS8 3ES,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Yorkshire Dental Suite,01138 879594,Yorkshire Dental Suite,LS8 3HA,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.yorkshiredentalsuite.co.uk/,
Oakwood Dental Practice,01132 402140,Oakwood Dental Practice,LS8 4AR,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Teeth,01132 490578,Teeth,LS8 4BA,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.teethatoakwood.co.uk,
Chana Dental Practice - Leeds,01132 623387,Chana Dental Practice - Leeds,LS8 4EZ,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Roundhay Road Dental,01132 490795,Roundhay Road Dental,LS8 4HT,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Jem Dental Care,01132 492136,Jem Dental Care,LS8 5DH,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
J H Sager Limited - Compton,01132 493428,J H Sager Limited - Compton,LS9 6AP,Harehills/East Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Zayra Dental Practice,01132 488398,Zayra Dental Practice,LS9 6NQ,Harehills/East Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
David Beevers Day Unit,01133 929875,David Beevers Day Unit,LS9 7BE,Harehills/East Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.leedsth.nhs.uk,website unreachable
The Dental Surgery Leeds,01132 495607,The Dental Surgery Leeds,LS9 9ED,Harehills/East Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
