practice_name,also_known_as,address,postcode,ls_area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Hunslet Dental Surgery,,"Fraternity House, 50 Church Street,  Hunslet, Leeds",LS10 2AR,Hunslet/South Leeds,01909 562475,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hunslet Dental Partnership,CQC directory (auto-downloaded),
LS10 Dental Care,,"20 Pepper Road, Leeds",LS10 2EU,Hunslet/South Leeds,01132 776606,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Belle Isle Dental Ltd,CQC directory (auto-downloaded),
Lingwell Croft Dental Practice,,"18 Shelldrake Drive, Leeds",LS10 3NB,Hunslet/South Leeds,01132 702820,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,House of 32 Partnership,CQC directory (auto-downloaded),
Town Street Dental Practice,,"75 Town Street, Middleton, Leeds",LS10 3NG,Hunslet/South Leeds,01132 717477,https://www.boyds-dentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Fathima Fahnaz Saneej,CQC directory (auto-downloaded),website unreachable
Headquarters,,"Building Three,  Whiterose Office Park, Millshaw Park Lane, Leeds",LS11 0DL,Beeston/Holbeck,01132 208500,https://www.leedscommunityhealthcare.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Leeds Community Healthcare NHS Trust,CQC directory (auto-downloaded),
Night and day emergency dentist,,"599 Dewsbury Road, Beeston, Leeds",LS11 5LE,Beeston/Holbeck,0759 4594525,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NIGHT AND DAY (LEEDS) LIMITED,CQC directory (auto-downloaded),
Leeds City Dentalcare,,"159 Beeston Road, Leeds",LS11 6AW,Beeston/Holbeck,01132 705020,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
Leeds City Dentalcare Limited,,"159 Beeston Road, Beeston, Leeds",LS11 6AW,Beeston/Holbeck,01132 705020,https://www.leedscitydentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Leeds City Dentalcare Limited,CQC directory (auto-downloaded),
Maghaireh Limited,Leeds Dental Implant & Cosmetic Clinic,"Unit B, Global Avenue, Leeds",LS11 8PR,Beeston/Holbeck,0790 8490226,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Maghaireh limited,CQC directory (auto-downloaded),
The Holbeck Dental Practice,,"73 Domestic Street, Leeds",LS11 9NS,Beeston/Holbeck,01132 448259,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Stefan Andronovici,CQC directory (auto-downloaded),
Armley Dental Practice,,"4 Hall Road, Leeds",LS12 1XB,Wortley/Farnley,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Armley Dent Ltd,CQC directory (auto-downloaded),
HMP Leeds,Time for Teeth Limited,"Armley Jail, Gloucester Terrace,  Armley, Leeds",LS12 2TJ,Wortley/Farnley,01132 032629,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
Parish Dental Practice,,"7-9 Branch Road, Armley, Leeds",LS12 3AQ,Wortley/Farnley,01132 638509,https://www.parishdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,M & B Practices Limited,CQC directory (auto-downloaded),
Whingate Dental Care,Whingate Dental Practice Partnership,"268 Tong Road, Leeds",LS12 3BG,Wortley/Farnley,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Whingate Dental Practice Partnership,CQC directory (auto-downloaded),
Whingate Dental Ltd,,"268 Tong Road, Leeds",LS12 3BG,Wortley/Farnley,01132 638337,https://www.carholmedentalgroup.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Whingate Dental Limited,CQC directory (auto-downloaded),
Ridge Road Dental Practice,,"97 Armley Ridge Road, Leeds",LS12 3PE,Wortley/Farnley,01132 633199,https://www.infinitydentalclinic.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Infinity Dental Clinic Limited,CQC directory (auto-downloaded),
Indigo Dental,,"106a Dixon Lane, Leeds",LS12 4AD,Wortley/Farnley,01132 632960,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Indigo Dental Limited,CQC directory (auto-downloaded),
Windmill Dental,,"Unit 1 & 2 Windmill House, 277 Tong Road, Leeds",LS12 4NQ,Wortley/Farnley,01132 798282,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Windmill Dental,CQC directory (auto-downloaded),
HQ Dental,,"Swallow House, 349 Tong Road, Leeds",LS12 4QG,Wortley/Farnley,01132 796667,https://www.hqdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,HQ Dental Laboratory Limited,CQC directory (auto-downloaded),
UrgentCare Dental,,"Unit 2, Ashfield Court, , Leeds",LS12 5JB,Wortley/Farnley,01138 683185,https://www.urgentcaredental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Urgentcare Dental Limited,CQC directory (auto-downloaded),
The Poplars Dental Practice,,"43A Rodley Lane, Rodley, Leeds",LS13 1LT,Bramley/Rodley,01132 564161,https://www.poplarsdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miss Laura Beardsmore,CQC directory (auto-downloaded),
Xen Smiles Limited,,"241 Green Hill Road, Bramley, Leeds",LS13 4AJ,Bramley/Rodley,01132 576026,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Xen Smiles Limited,CQC directory (auto-downloaded),
Swinnow Road Dental Practice,,"136 Swinnow Road, Leeds",LS13 4NX,Bramley/Rodley,01132 565214,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Salaudeen Smiles Limited,CQC directory (auto-downloaded),
Whinmoor Dental Care,,"46 White Laithe Approach, Leeds",LS14 2EH,Seacroft/Whinmoor,01132 731792,https://www.livingsmiles.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Living Smiles Ltd,CQC directory (auto-downloaded),
Seacroft Dental Practice,,"896 York Road, Leeds",LS14 6HT,Seacroft/Whinmoor,01132 647309,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Seacroft Dental Practice Partnership,CQC directory (auto-downloaded),
Scholes Dental Care,,"38 Station Road, Scholes, Leeds",LS15 4BN,Cross Gates/Austhorpe,01132 323878,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,CNS Dental Care Ltd,CQC directory (auto-downloaded),
68 Dental,,"68 Austhorpe Road, Crossgates, Leeds",LS15 8DZ,Cross Gates/Austhorpe,01132 641657,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,68 Dental Ltd,CQC directory (auto-downloaded),
21D Leeds,,"4235 Park Approach, Leeds",LS15 8GB,Cross Gates/Austhorpe,0800 0073199,https://www.21d.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,21D Clinical Limited,CQC directory (auto-downloaded),
Vitruvian Dental Studio,Vitruvian Cosmetic Dentistry LTD,"Unit 15, The Springs,  Thorpe Park View, Leeds",LS15 8GH,Cross Gates/Austhorpe,01133 220861,https://vdsleeds.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Vitruvian Cosmetic Dentistry Ltd,CQC directory (auto-downloaded),
Advance Dental Care,,"188 Butcher Hill, Leeds",LS16 5BG,Adel/Wharfedale,01132 751114,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Altaf Hussain,CQC directory (auto-downloaded),
Far Headingley Dental Care,,"174 Otley Road, Leeds",LS16 5LG,Adel/Wharfedale,01132 751323,https://www.fhdc.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,FHDC Limited,CQC directory (auto-downloaded),website unreachable
West Park Dental Care - Leeds,,"289 Otley Road, Weetwood, Leeds",LS16 5LN,Adel/Wharfedale,01132 786910,https://www.westparkdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Groves and Groves Limited,CQC directory (auto-downloaded),
Lawnswood Dental Care,,"153 Otley Old Road, Leeds",LS16 6HN,Adel/Wharfedale,01132 678129,https://www.lawnswooddentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Martin Robert Turner,CQC directory (auto-downloaded),
Smile Clinic North Leeds,,"Gladstone House,  ground floor, Lawnswood Business Park,  Redvers Close, Leeds",LS16 6QY,Adel/Wharfedale,01134 260080,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Sandeep Sharma,CQC directory (auto-downloaded),
Gunn Dental Care,,"5 Woodside Court, Clayton Wood Rise, Leeds",LS16 6RF,Adel/Wharfedale,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gunn Dental Care,CQC directory (auto-downloaded),
Adel Dental Practice,,"467a Otley Road, Adel, Leeds",LS16 7NR,Adel/Wharfedale,01132 671628,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Adel Dental Practice,CQC directory (auto-downloaded),
The Parade Dental,,"5 Shopping Centre,  Holt Road, Leeds",LS16 7SR,Adel/Wharfedale,01132 614228,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentique Dental Ltd,CQC directory (auto-downloaded),
King Lane Dental Care Limited,,"87 King Lane, Moortown, Leeds",LS17 5AX,Moortown/Alwoodley,01132 685711,https://www.kldc.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,King Lane Dental Care Limited,CQC directory (auto-downloaded),website unreachable
The Temple Practice,,"375-377 Harrogate Road, Leeds",LS17 6DW,Moortown/Alwoodley,01132 680886,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Leeds Dental Team Limited,CQC directory (auto-downloaded),
Street Lane Dental Centre,,"457 Street Lane, Moortown, Leeds",LS17 6HQ,Moortown/Alwoodley,01132 689696,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Street Lane Dental Centre Partnership,CQC directory (auto-downloaded),
Corner House Dental Practice,,"5-6 The Corner House, Moortown Centre, Leeds",LS17 6LD,Moortown/Alwoodley,01132 665184,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Natwarlal Tibrewal,CQC directory (auto-downloaded),
The Dentist,,"351 Harrogate Road, Leeds",LS17 6PZ,Moortown/Alwoodley,0794 4353720,https://www.thedentsistuk.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Advanced Oral Care Ltd,CQC directory (auto-downloaded),website unreachable
Street Lane Dental Implant Clinic,,"359 Street Lane, Leeds",LS17 6RU,Moortown/Alwoodley,01132 682500,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Paul Roberts,CQC directory (auto-downloaded),
Nursery Lane Dental,,"176 Nursery Lane, Alwoodley, Leeds",LS17 7AQ,Moortown/Alwoodley,01132 686508,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NL Practice Limited,CQC directory (auto-downloaded),
Primley Park Dentistry,,"16 Nursery Lane, Leeds",LS17 7HN,Moortown/Alwoodley,01132 685645,https://www.primleypark.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Primley Park Dentistry Limited,CQC directory (auto-downloaded),
High Ash Dental Practice,,"88 High Ash Drive, Leeds",LS17 8RE,Moortown/Alwoodley,01132 688391,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Abdul Munaf Qayyum,CQC directory (auto-downloaded),
Shadwell Dental Care Limited,,"18-24 Slaid Hill Court, Slaid Hill, Leeds",LS17 8TJ,Moortown/Alwoodley,01132 371191,https://www.shadwelldentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Shadwell Dental Care Limited,CQC directory (auto-downloaded),
Dental Excellence Harewood,,"Moor House, 72a The Square,  Harewood, Leeds",LS17 9LQ,Moortown/Alwoodley,01132 181919,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Excellence - Harewood Practice LLP,CQC directory (auto-downloaded),
Ivory Dental Practice Limited,,"108-110 Town Street, Horsforth, Leeds",LS18 4AH,Horsforth,01132 583349,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
Perfect Smile Clinic Horsforth,,"251 New Road Side, Horsforth, Leeds",LS18 4DR,Horsforth,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Perfect Smile Clinic (UK) Ltd,CQC directory (auto-downloaded),
Alexandra Road Dental Practice,,"14 Alexandra Road, Horsforth, Leeds",LS18 4HD,Horsforth,01132 818873,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,W&S Dental Limited,CQC directory (auto-downloaded),
Horsforth Smile Clinic,,"2 Town Street, Horsforth, Leeds",LS18 4RJ,Horsforth,01132 588780,https://www.horsforthsmileclinic.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Zafar Khan,CQC directory (auto-downloaded),
Horsforth Dental Practice,Yorkshire Myobrace Limited,"2 Troy Road, Horsforth, Leeds",LS18 5NQ,Horsforth,01132 582180,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yorkshire Myobrace Limited,CQC directory (auto-downloaded),
Rawdon Dental Practice,,"Gable House,  11A New Road Side, Rawdon, Leeds",LS19 6DD,Yeadon/Rawdon,01132 502844,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,S J Ward Limited,CQC directory (auto-downloaded),
Rawdon Lights Dental Care,,"16 Harrogate Road, Rawdon, Leeds",LS19 6HJ,Yeadon/Rawdon,01132 502003,https://www.toothpixie.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Matthew Hawker,CQC directory (auto-downloaded),website unreachable
Yeadon Dental Centre,,"25 High Street, Yeadon, Leeds",LS19 7SP,Yeadon/Rawdon,01132 508777,https://www.yeadondentalcentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Target Dental Limited,CQC directory (auto-downloaded),
Aesthetique Dental Care,,"21 Wharf Street, Leeds",LS2 7EQ,Leeds city centre east,01132 458066,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Ferakh Hamid,CQC directory (auto-downloaded),
Quarry House Dental Practice Partnership,,"Quarry House, Quarry Hill, Leeds",LS2 7PD,Leeds city centre east,0773 8076534,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Quarry House Dental Practice Partnership,CQC directory (auto-downloaded),
White 32 | Dental,,"1 Wormald Row, Leeds",LS2 8DZ,Leeds city centre east,01133 474000,https://www.white32.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,White 32 Ltd,CQC directory (auto-downloaded),
Leeds Dental Institute,,"The Worsley Building, Clarendon Way, Leeds",LS2 9LU,Leeds city centre east,01132 440111,https://www.leedsteachinghospitals.com/patients/aboutus/hospitals/dental_institute.php,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Leeds Teaching Hospitals NHS Trust,CQC directory (auto-downloaded),website unreachable
Springfield Dental Clinic,,"2 Springfield Road, Guiseley, Leeds",LS20 8AL,Guiseley,01943 884848,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Ross Dental Surgeons Limited,CQC directory (auto-downloaded),
One Two Three Dental,,"123 Otley Road, Guiseley, Leeds",LS20 8BH,Guiseley,01943 874476,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bickerton Dental Care Limited,CQC directory (auto-downloaded),
Guiseley Partnership,,"8 The Green, Guiseley, Leeds",LS20 9BT,Guiseley,01943 877530,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Guiseley Partnership,CQC directory (auto-downloaded),
Yorkshire Dental Suite Guiseley,,"Leeds Road, Guiseley, Leeds",LS20 9NA,Guiseley,01943 330010,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Abdulbaset Dalghous,CQC directory (auto-downloaded),
Digital Smile Designs,,"44 Boroughgate, Otley",LS21 1AE,Otley,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Target Dental Limited,CQC directory (auto-downloaded),
Otley Dental Centre,,"69 Boroughgate, Otley",LS21 1AG,Otley,01943 462215,https://www.otleydentalcentre.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Target Dental Limited,CQC directory (auto-downloaded),website unreachable
Bridge Street Dental Practice,,"1b, Bridge Street, Otley",LS21 1BQ,Otley,01943 462415,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Bikramjeet Singh Grewal,CQC directory (auto-downloaded),
Yorkshire Orthodontics,,"1 New Market, Otley",LS21 3AE,Otley,01943 464964,https://www.targetdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yorkshire Orthodontics Limited,CQC directory (auto-downloaded),
Collingham Dental Care,,"6 Hastings Court, Collingham, Wetherby",LS22 5AW,Wetherby,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,VSAM Limited,CQC directory (auto-downloaded),
HMYOI Wetherby,,"York Road, Wetherby",LS22 5ED,Wetherby,01937 544200,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
Hopkinson Dental,,"19 Market Place, Wetherby",LS22 6LQ,Wetherby,01937 582972,https://www.hopkinsondental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hopkinson Dental Care Limited,CQC directory (auto-downloaded),website unreachable
York Place Dental Practice,,"3 York Place, Wetherby",LS22 6NZ,Wetherby,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,YPDP Ltd,CQC directory (auto-downloaded),
The Dental Hub Wetherby,,"Glen Lea, 20 York Road, Wetherby",LS22 6SL,Wetherby,01937 583502,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Drs Prince and Hansson,CQC directory (auto-downloaded),
Ashby Dental,,"16 Deighton Road, Wetherby",LS22 7TE,Wetherby,01937 580530,https://www.ashbydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Wetherby Orthodontics,,"16 Deighton Road, Wetherby, Leeds",LS22 7TE,Wetherby,01937 580510,https://www.wetherbyortho.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Megan Hatfield,CQC directory (auto-downloaded),
210 Dental Clinic,,"210 High Street, Boston Spa, Wetherby",LS23 6BT,Boston Spa/Thorp Arch,01937 844124,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr. Maryam Hamer,CQC directory (auto-downloaded),
HMP Wealstun,,"Wealstun, Walton Road, Wetherby",LS23 7AZ,Boston Spa/Thorp Arch,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
Kirkgate Dental Surgery,,"36/38 Kirkgate, Tadcaster",LS24 9AD,Sherburn in Elmet,01937 835551,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lloyd Lane Limited,CQC directory (auto-downloaded),
Bridge Street Dental Surgery,,"22 Bridge Street, Tadcaster",LS24 9AL,Sherburn in Elmet,01937 833416,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bridge Street Dental Surgery,CQC directory (auto-downloaded),
