"Service name","Type of establishment","Services provided","Address line 1","Address line 2",Postcode,"Last inspection date",Telephone,Sector
"Spire Healthcare Abergele Clinic",Hospitals,,"Priory House North Wales Business Park",Abergele,"LL22 8LJ",19/07/2023,"'01745 828900",Private/Independent
"Abergele Hospital",Hospitals,,"Llanfair Road",Abergele,"LL22 8DP",17/04/2025,"'01745 832295",NHS
"Abersoch Dental Care","Dental Practices",Dental,"19 Cae Du, Abersoch",Gwynedd,"LL53 7EN",26/07/2017,"'01758 713955","NHS, Private/Independent"
"Abersychan Dental Surgery","Dental Practices",Dental,"10 Broad Street",Pontypool,"NP4 7BQ",28/05/2026,"'01495 775252",Private/Independent
"Swansea Bay University Health Board",Hospitals,,"One Talbot Gateway, Baglan Energy Park, Baglan","Port Talbot","SA12 7BR",16/10/2025,"'01656 752752",NHS
"Abertawe Medical Practice","GP Surgeries","GP services","151 St. Helen's Road",Swansea,"SA1 4DF",14/05/2018,"'01792 476576",NHS
"Abertillery Dental Care","Dental Practices",Dental,"3a Somerset Street",Abertillery,"NP13 1DJ",27/02/2019,"'01495 212445",Private/Independent
"Abertillery Group Practice","GP Surgeries","GP services","Bridge Centre",Abertillery,"NP13 1BQ",12/09/2023,"'01495 322632",NHS
"Abertridwr Dental Surgery","Dental Practices",Dental,"5 Thomas Street",Caerphilly,"CF83 4AU",17/04/2024,"'02920 831270","NHS, Private/Independent"
"Abertysswg Community Centre","GP Surgeries","GP services","Community Centre",Rhymney,"NP22 5AH",,"'01685 840627",NHS
"Abertysswg Community Centre","GP Surgeries","GP services","Arthur Street",Rhymney,"NP22 5AN",,"'01685 840614",NHS
"Ablett Unit (Glan Clwyd Hospital)",Hospitals,"Mental Health","Sarn lane",Bodelwyddan,"LL18 5UT",19/10/2023,"'01745 585484",NHS
"Absolute Dental Care","Dental Practices",Dental,"Clifton Rock",Tenby,"SA70 7LG",12/03/2020,"'01834 218040",Private/Independent
"Achddu Villa Dental Practice","Dental Practices",Dental,"18 Stepney Road","Burry Port","SA16 0BH",21/01/2022,"'01554 833722","NHS, Private/Independent"
Aderyn,Hospitals,"Mental Health",Penperlleni,Pontypool,"NP4 0AH",13/06/2025,"'01873 840555",Private/Independent
"Advance Dental Care","Dental Practices",Dental,"Lakin Drive",Barry,"CF62 8AS",14/04/2020,"'01446 489541",Private/Independent
"Afan Valley Group Practice","GP Surgeries","GP services","Waun Avenue",Glyncorrwg,"SA13 3DP",,"'01639 850407",NHS
"Albany Medical Centre (Newport)",Clinics,,"Ground Floor, 24 Bridge Street",Newport,"NP20 4SF",07/12/2023,"'01633 243533",Private/Independent
"Albany Medical Centre (Pontypridd)",Clinics,,"Llawr 1af 13 Market Street",Pontypridd,"CF37 2ST",26/02/2026,"'01443 400391",Private/Independent
"Albert Road Surgery","GP Surgeries","GP services","Albert Road",Penarth,"CF64 1BX",,"'029 2071 1966",NHS
"Alfred Street Primary Care Centre","GP Surgeries","GP services","12 - 14 Alfred Street",Neath,"SA11 1EF",10/12/2019,"'01639 646888",NHS
"Alison Jones Dental Practice","Dental Practices",Dental,"45 Barry Road",Barry,"CF63 1BA",05/04/2019,"'01446 732 231","NHS, Private/Independent"
"Alison Jones Dental Practice (Cardiff)","Dental Practices",Dental,"101 Whitchurch Road",Gabalfa,"CF14 3JQ",02/03/2022,"'029 2062 1059","NHS, Private/Independent"
"Allt Goch Medical Centre","GP Surgeries","GP services","Lon y Becws",Flintshire,CH65UZ,31/01/2023,"'01352 732207",NHS
"Alway Health Centre","GP Surgeries","GP services","18 Penkin Close",Newport,"NP19 9NT",,"'01633 277771",NHS
"Alyn View","GP Surgeries","GP services","Station Road",Wrexham,"LL12 0HE",,"'03333 323260",NHS
"Amethyst SARC",Hospitals,,"1-3 Bryn Eirias Close off Elian Road","Colwyn Bay","LL29 8AB",,"'01492 805384",NHS
"Amlwch Dental Practice","Dental Practices",Dental,"14 Salem Street",Anglesey,"LL68 9BP",06/02/2025,"'01407 830281","NHS, Private/Independent"
"Amman Tawe Partnership","GP Surgeries","GP services","Brynamman Community Cwmgarw Road",Brynamman,"SA18 1BU",,"'01269 820799",NHS
"Amman Tawe Partnership","GP Surgeries","GP services","Brynamman Community Cwmgarw Road",Brynamman,"SA18 1BU",,"'01269 820788",NHS
"Amman Tawe Partnership - Garnant Surgery","GP Surgeries","GP services","Cwmamman Road Surgery",Garnant,"SA18 1NB",,"'01269 823385",NHS
"Amman Tawe Partnership - GCG Surgery","GP Surgeries","GP services","Graig Road Surgery","Gwaun Cae Gurwen","SA18 1EG",13/02/2020,"'01269 822231",NHS
"Amman Valley Hospital",Hospitals,,"Folland Road",Glanamman,"SA18 2BQ",22/08/2019,"'01269 822226",NHS
"Andrews  Medical Practice","GP Surgeries","GP services","The Old Dental Suite, Llwynhendy Road Llwynhendy",Llanelli,"SA14 9BN",16/03/2017,"'01554 778017",NHS
"Aneurin Bevan University Health Board",Hospitals,,"Headquarters, St Cadoc's Hospital, Lodge Road, ",Caerleon,"NP18 3XQ",08/08/2024,"'01633 234234",NHS
"Angel Way Dental Care","Dental Practices",Dental,"58 Cardiff Road",Bargoed,"CF81 8PA",11/07/2016,"'01443 831349",NHS
"Aparajita Surgery","GP Surgeries","GP services","68 Worcester St",Brynmawr,"NP23 4EY",,"'01495 310266",NHS
"Ardudwy Health Centre","GP Surgeries","GP services","Ffordd Morfa",Gwynedd,"LL46 2US",,"'01766 781843",NHS
"Argyle Medical Group","GP Surgeries","GP services","Argyle Street","Pembroke Dock","SA72 6HL",05/09/2025,"'01646 624198",NHS
"Arwystli Medical Practice","GP Surgeries","GP services","Mount Lane",Llanidloes,"SY18 6EZ",19/09/2019,"'01686 412228",NHS
"Ash Grove Medical Centre Meddygfa Gelli-Onn","GP Surgeries","GP services","Thomas Street",Llanelli,"SA15 3JH",,"'01554 780900",NHS
"Ashgrove Surgery","GP Surgeries","GP services","Morgan Street",Pontypridd,"CF37 2DR",,"'01443 404444",NHS
"Ashleigh Surgery","GP Surgeries","GP services","Napier Street",Cardigan,"SA43 1ED",,"'01239 621227",NHS
"Aspire Health and Beauty",Clinics,"Laser - non-surgical (e.g. hair or tattoo removal)","1st and 2nd Floors, 13 Princes Drive","Colwyn Bay","LL29 8HT",15/10/2024,"'01492 534533",Private/Independent
"Aspire Health and Beauty Ltd",Clinics,"Laser - non-surgical (e.g. hair or tattoo removal)","2 Victoria Buildings, Mostyn Avenue, Craig-y-Don",Llandudno,"LL30 1YU",16/02/2017,"'01492 877446",Private/Independent
"Avenue Villa Dental Surgery","Dental Practices",Dental,"Queen Victoria Road",Llanelli,"SA15 2TP",14/12/2023,"'01554 773649","NHS, Private/Independent"
"Avenue Villa Surgery","GP Surgeries","GP services","Brynmor Road",Llanelli,"SA15 2TJ",,"'01554 774401",NHS
"Health Centre","GP Surgeries","GP services","Park Row",Tredegar,"NP22 3NG",,"'01495 722530",NHS
"Healthy Prestatyn Iach, Central Surgery","GP Surgeries","GP services","Ffordd Pendyffryn",Denbighshire,"LL19 9DH",18/08/2017,"'01745 886444",NHS
"Heathbridge House","GP Surgeries","GP services","1a Pisgah Street","Kenfig Hill","CF33 6BY",,"'01656 740359",NHS
"Heatherwood Court Pontypridd",Hospitals,"Mental Health","Heatherwood Court",Pontypridd,"CF37 1PL",11/05/2026,"'01443 490380",Private/Independent
"MyDentist – Whitland","Dental Practices",Dental,"Lomead House","Whitland, Carmarthenshire","SA34 0AP",15/06/2021,"'01994 240932","NHS, Private/Independent"
"Hereford Road Surgery","GP Surgeries","GP services","6 Hereford Road",Abergavenny,NP75PR,,"'01873 851155",NHS
"Hickman House Dental Surgery","Dental Practices",Dental,"25 Hickman Road",Penarth,"CF64 2AJ",05/07/2017,"'029 2070 8317",NHS
"High Street Dental Practice","Dental Practices",Dental,"57 High Street",Cowbridge,"CF71 7AF",17/06/2026,"'01446 772604",Private/Independent
"High Street Surgery","GP Surgeries","GP services","160 High Street",Swansea,SA11NE,,"'01792 460015",NHS
"Highlight Park Medical Practice","GP Surgeries","GP services","Lakin Drive Highlight Park",Barry,"CF62 8GP",,"'01446 720100",NHS
"Hillcrest Dental Practice","Dental Practices",Dental,"866 Newport Road",Rumney,"CF3 4LJ",27/09/2017,"'029 2077 7626","NHS, Private/Independent"
"Hillcrest Medical Centre","GP Surgeries","GP services","Pryce Street","Mountain Ash","CF45 3NT",,"'01443 473783",NHS
"Hillcrest Medical Centre","GP Surgeries","GP services","86 Holt Road",Wrexham,"LL13 8RG",13/04/2023,"'01978 262193",NHS
"Hilltop View Dental Practice","Dental Practices",Dental,"222 High Street",Blackwood,"NP12 1AJ",03/06/2021,"'01495 224166","NHS, Private/Independent"
"Hirwaun Medical Centre","GP Surgeries","GP services","High Street Hirwaun",Aberdare,"CF44 9SL",,"'01685 811999",NHS
"Holton Road Care","Dental Practices",Dental,"157 Holton Road",Barry,"CF63 4HP",29/12/2021,"'01446 720222","NHS, Private/Independent"
"Holywell Community Hospital",Hospitals,,"Halkyn Road",Holywell,CH87TZ,27/02/2017,"'01352 711833",NHS
"Honeyfields Dental","Dental Practices",Dental,"Rhyl Road",Rhuddlan,"LL18 2TP",22/11/2023,"'01745 591728",Private/Independent
"Hope Family Medical Centre","GP Surgeries","GP services","Hawarden Road",Flintshire,"LL12 9NL",28/04/2022,"'01978 760468",NHS
"Horeb Surgery","GP Surgeries","GP services","Horeb Street",Treorchy,"CF42 6RU",,"'01443 772185",NHS
"Huw Jones Dental Surgery","Dental Practices",Dental,"The Health Centre",Narberth,"SA67 7AA",18/03/2026,"'01834 860176","NHS, Private/Independent"
"Llantrisant Dental Surgery","Dental Practices",Dental,"15 Newbridge Road",Pontyclun,"CF72 8EX",29/03/2022,"'01443 225554",NHS
"Hywel Dda University Health Board",Hospitals,,"Second Floor, Block C, Government Buildings","Picton Terrace","SA31 3BT",19/01/2022,"'0300 0200 159",NHS
"Infiniti Healthcare Ltd",Clinics,,"3 Ash Tree Court, Woodsy Close, Cardiff Gate Business Park",Cardiff,"CF23 8RW",13/01/2023,"'0333 800 8082",Private/Independent
"Innermost Healthcare",Clinics,,"Ash Tree clinic 3 Ash Tree Court Woodsy Close Cardiff Gate Business Park",Cardiff,"CF23 8RW",06/06/2025,"'0345 230 3386",Private/Independent
"Fountain Dental Centre","Dental Practices",Dental,"147 High Street","Merthyr Tydfil","CF47 8DP",10/03/2022,"'01685 386854",Private/Independent
"Four Crosses Branch Surgery","GP Surgeries","GP services","Four Crosses Business Park Four Crosses",Llanymynech,"SY22 6ST",,"'01691 648054",NHS
"Four Elms Medical Centre","GP Surgeries","GP services","Sterling Close Pengam Green","Pengam Green","CF24 2HB",19/04/2017,"'029 20489292",NHS
"Four Elms Medical Centre (Cardiff Royal Infirmary)","GP Surgeries","GP services","Cardiff Royal Infirmary",Cardiff,"CF24 0SZ",,"'029 2048 9292",NHS
"Freeman and Rosser Dental Practice","Dental Practices",Dental,"Catherine Street",Carmarthen,"SA31 3DY",25/10/2023,"'01267 234656",Private/Independent
"MyDentist – Friars Dental Clinic","Dental Practices",Dental,"Park Avenue",Aberystwyth,"SY23 1PB",13/03/2020,"'01970 623369","NHS, Private/Independent"
"Furnace House Surgery","GP Surgeries","GP services","St. Andrews Road",Carmarthen,"SA31 1EX",,"'01267 236616",NHS
"Fusion Dentistry","Dental Practices",,"Abton House, Wedal Road",Cardiff,"CF14 3QX",24/04/2018,"'02920 214304",Private/Independent
"Gaer Medical Centre","GP Surgeries","GP services","71 Gaer Road",Newport,"NP20 3GX",,"'01633 840827",NHS
"Gareth RH Davies","Dental Practices",Dental,"126a West Cross Lane West Cross",Swansea,"SA3 5NG",18/09/2025,"'01792 402580","NHS, Private/Independent"
"Garngoch Hospital",Hospitals,"Mental Health","Ty Garngoch Hospital Road",Gorseinon,"SA4 4LH",,"'(01792) 531200",NHS
"Garth View Surgery","GP Surgeries","GP services","Tynant Road Beddau",Pontypridd,"CF38 2DA",,"'01443 203414",NHS
"The Gateway Dental Practice","Dental Practices",Dental,"44 Cross Street",Abergavenny,"NP7 5ER",26/02/2025,"'01873 737737","NHS, Private/Independent"
"Gateway OHS Ltd – Usk","Dental Practices",Dental,"44 Cross Street",Abergavenny,"NP7 5ER",,,NHS
"Gellinudd Hospital",Hospitals,,"Lon Catwg Gellinudd",Pontardawe,SA83DX,,"'01792 862221",NHS
"Gentle Dental Practice","Dental Practices",Dental,"7 Victoria Square",Aberdare,"CF44 7LA",31/05/2023,"'01685 882800","NHS, Private/Independent"
"Gerafon Surgery","GP Surgeries","GP services",,Anglesey,"LL74 8TF",,"'01248 852122",NHS
"Gilfach Surgery","GP Surgeries","GP services","William Street",Bargoed,"CF81 8NY",,"'01443 831150",NHS
"Gilwern Surgery","GP Surgeries","GP services","38 Main Road",Gilwern,NP70AU,,"'01873 830589",NHS
"Ysbyty Glan Clwyd",Hospitals,"Maternity, Paediatric, Mental Health, Ionising radiation (e.g. Radiotherapy), A&E","Rhuddlan Road, Bodelwyddan",Rhyl,"LL18 5UJ",01/05/2025,"'01745 583910",NHS
"Deintyddfa Glandŵr – Criccieth (de-registered 03/09/2025)","Dental Practices",Dental,"17 Mona Terrace",Gwynedd,"LL52 0HG",10/01/2023,"'01766 522455","NHS, Private/Independent"
"Glan Irfon Health and Social Care Centre (Builth Wells)",Clinics,,"Love Lane","Builth Wells","LD2 3DG",,"'01597 827 770",NHS
"Glan Menai Surgery","GP Surgeries","GP services",,Anglesey,"LL71 8DA",,"'01248 470213",NHS
"Glan yr Afon Surgery","GP Surgeries","GP services","Park Row",Tredegar,"NP22 3NG",,"'01495 360486",NHS
Glanfa,"GP Surgeries","GP services","Orme Road",Gwynedd,"LL57 1AY",,"'01248 370540",NHS
"Glangwili General Hospital",Hospitals,"Maternity, Paediatric, Ionising radiation (e.g. Radiotherapy), A&E","Dolgwili Road","Glangwili, Carmarthen","SA31 2AF",04/12/2025,"'01267 235151",NHS
"Glanrhyd Hospital",Hospitals,"Mental Health","Tondu Road",Bridgend,"CF31 4LN",11/06/2026,"'01656 752752",NHS
"Glanrhyd Surgery","GP Surgeries","GP services",Riverside,"Ebbw Vale","NP23 5NT",,"'01495 301210",NHS
"Glantwymyn Health Centre","GP Surgeries","GP services","Cemmaes Road",Machynlleth,"SY20 8LB",,"'01650 511227",NHS
"Glenhaven Dental Care","Dental Practices",Dental,"129 Cardiff Road","Taffs Well","CF15 7PP",25/10/2023,"'029 20 810523",NHS
"Glyn Ceiriog Surgery","GP Surgeries","GP services","New Road",Wrexham,"LL20 7HH",,"'01691 718568",NHS
"Glyn Ebwy Surgery","GP Surgeries","GP services","James Street","Ebbw Vale","NP23 6JG",17/08/2017,"'01495 302716",NHS
"Goodwin Partnership DBS Ltd","Dental Practices",Dental,"The Dental Surgery Fairwater Square",Cwmbran,"NP44 4TA",31/01/2023,"'01633 482884","NHS, Private/Independent"
"Gorseinon Dental","Dental Practices",Dental,"40 High Street Gorseinon",Swansea,"SA4 4BT",02/10/2019,"'01792 891666","NHS, Private/Independent"
"Gorseinon Hospital",Hospitals,,Gorseinon,Swansea,SA44UU,08/10/2020,"'01792 897837",NHS
"Gower Medical Practice","GP Surgeries","GP services","Monkslade Road Scurlage",Swansea,SA31AY,10/10/2025,"'01792 390413",NHS
"Gowerton Dental Practice","Dental Practices",Dental,"1 Talbot Street Gowerton",Swansea,"SA4 3BD",09/05/2019,"'01792 873979","NHS, Private/Independent"
"Gowerton Medical Centre","GP Surgeries","GP services","Mill Street Gowerton",Swansea,SA43ED,14/01/2026,"'01792 872404",NHS
"Goytre Surgery","GP Surgeries","GP services","35 Highfield",Pontypool,"NP4 0BH",,"'01495 752444",NHS
"Graig y Rhacca Surgery","GP Surgeries","GP services","Graig y Rhacca Resource Centre",Machen,"CF83 8TQ",,"'02920 868011",NHS
"Grange Clinic","GP Surgeries","GP services","Westfield Avenue",Newport,"NP20 6EY",,"'01633 855521",NHS
"Grange Medical Practice","GP Surgeries","GP services","Bishop Street",Grangetown,"CF11 6PG",18/04/2023,"'029 2022 6057",NHS
"Grangetown Health Centre","GP Surgeries","GP services","Cambridge Street,",Grangetown,"CF11 7DJ",,"'029 2034 2728",NHS
"Greenacre Orthodontics","Dental Practices",Dental,"14 Wepre Drive, Connah's Quay",Deeside,"CH5 4HB",,"'01244 818111",Private/Independent
"Greenfield Dental Care","Dental Practices",Dental,"60 Greenfield Avenue","Dinas Powys","CF64 4BX",17/01/2018,"'029 2051 5151",Private/Independent
"Greenhill Medical Centre","GP Surgeries","GP services","Greenhill Street Dyfatty",Swansea,SA11QW,16/01/2020,"'01792 412412",NHS
"Greenmeadow Surgery","GP Surgeries","GP services","Greenmeadow Way",Cwmbran,"NP44 3XQ",,"'01633 864110",NHS
"Greenmount Surgery","GP Surgeries","GP services","25 Church Road Caerau",Ely,CF55LQ,,"'029 2059 3003",NHS
"Gresford Skin Care Clinic",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","Pentre Lane",Wrexham,"LL12 8RN",30/07/2021,"'01978 854411",Private/Independent
"Grosvenor Dental Surgery","Dental Practices",Dental,"3 Grosvenor Road","Colwyn Bay","LL29 7YF",22/12/2020,"'01492 532796","NHS, Private/Independent"
"Cowell Street Skin & Hair Clinic",Clinics,"Cosmetic Surgery, Laser - non-surgical (e.g. hair or tattoo removal)","10 Cowell Street, Llanelli, Carmarthenshire  SA15 1UU",Llanelli,"SA15 1UU",29/08/2025,,Private/Independent
"Cox and Hitchcock Dental Practice","Dental Practices","Dental, Laser - surgical (e.g. laser eye surgery)","9 Rhyd-y-Penau Road, Cyncoed",Cardiff,"CF23 6PX",21/11/2018,"'02920 761100",Private/Independent
"Craig y Don Medical Practice","GP Surgeries","GP services","Clarence Road, Craig y Don",Llandudno,"LL30 1TA",08/10/2021,"'01492 864540",NHS
"Craig-y-Don Dental Practice","Dental Practices",Dental,"Shirley, 28 Mostyn Avenue",Llandudno,"LL30 1YY",05/12/2023,"'01492 876467",Private/Independent
"Crane Medical Centre","GP Surgeries","GP services","Crane Street",Wrexham,"LL14 3AB",,"'01978 810844",NHS
"Crawford House (Dr AK Saha & Ptr)","GP Surgeries","GP services",Penyffordd,Flintshire,"CH8 9HJ",,,NHS
"Creigau Surgery","GP Surgeries","GP services","69 Parc-y-Bryn",,"CF15 9SE",,"'01443 203414",NHS
"Crickhowell Dental Practice","Dental Practices",Dental,"Beaufort Street",Crickhowell,"NP8 1AG",17/08/2022,"'01873 810058",Private/Independent
"Croft Dental Practice","Dental Practices",Dental,"Depot Road",Aberdare,"CF44 8DL",09/02/2022,"'01685 876900","NHS, Private/Independent"
"Cross Hands Health Centre","GP Surgeries","GP services","Carmarthen Road Cross Hands",,"SA14 6TE",25/08/2023,"'01269 831091",NHS
"Cross Keys Dental Practice Limited","Dental Practices",Dental,"15-19 Risca Road","Cross Keys","NP11 7BT",14/10/2025,"'01495 272123","NHS, Private/Independent"
"Crossroads Dental Surgery","Dental Practices",Dental,"9 Rhydypenau Road",Cyncoed,"CF23 6PX",,"'08443 878560",NHS
"Crown Cottage Dental Practice","Dental Practices",Dental,"Crown Cottage","The Square","CF83 8DY",30/12/2024,"'02920 888786","NHS, Private/Independent"
"Crown Hill Dental Surgery","Dental Practices",Dental,"62 Tudor Way",Pontypridd,"CF38 2NR",11/06/2018,"'01443 207656","NHS, Private/Independent"
"Crwys Medical Centre","GP Surgeries","GP services","Wedal Road Heath",Heath,"CF14 3QX",23/01/2026,"'029 2052 4140",NHS
"Cutis Cosmetic Clinic",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","395 Gower Road Killay",Swansea,SA27AH,05/10/2022,,Private/Independent
"Cwm Calon","GP Surgeries","GP services","The Bridge Centre",Abertillery,"NP13 1BQ",16/05/2025,"'01495 322682",NHS
"Cwm Garw Practice","GP Surgeries","GP services","Heol Gellilodrau",Llangeinor,"CF32 8PS",04/02/2026,"'0845 293 7399",NHS
"Cwm Garw Practice","GP Surgeries","GP services","Victoria Street",Pontycymmer,"CF32 8NN",,"'0845 293 7399",NHS
"Cwm Gwyrdd Medical Centre","GP Surgeries","GP services","High Street Gilfach Goch",Porth,"CF39 8SX",19/06/2024,"'01443 672209",NHS
"Cwm Health Centre","GP Surgeries","GP services","Canning Street","Ebbw Vale","NP23 7RW",,"'01495 370209",NHS
"Cwm Seren, Tudor House & St Davids Parc",Hospitals,"Mental Health","Hafan Derwen","Jobs Well Road, Carmarthen","SA31 3HB",12/02/2026,"'01267 235151",NHS
"Cwm Taf Morgannwg University Health Board",Hospitals,,"Ynysmeurig House","Navigation Park","CF45 4SN",16/04/2026,"'01443 744800",NHS
"Cwmaman Health Centre","GP Surgeries","GP services","6-14 Glanaman Road Cwmaman",Aberdare,"CF44 6HY",06/02/2025,"'01685 873002",NHS
"Cwmavon Health Centre","GP Surgeries","GP services",Cwmavon,"Port Talbot","SA12 9BA",,"'01639 871071",NHS
"Deintyddfa Cybi Dental Practice","Dental Practices",Dental,"28 Thomas Street",Anglesey,"LL65 1RR",03/06/2021,"'01407 763399","NHS, Private/Independent"
"Deintyddfa Emlyn","Dental Practices",Dental,Adpar,"Newcastle Emlyn","SA38 9NS",19/11/2025,"'01239 711111",NHS
"Capel Dental Practice","Dental Practices",Dental,"22 Mansel Street",Carmarthen,"SA31 1QX",19/03/2025,"'01267 237363","NHS, Private/Independent"
"Delfryn House and Lodge",Hospitals,"Mental Health","Argoed Hall Lane",Mold,CH76SQ,09/01/2025,"'01352 707220",Private/Independent
"Denbigh Community Hospital",Hospitals,,"Ruthin Road",Denbigh,"LL16 3ES",,"'01745 818100",NHS
"Denise Adams Dental Surgery","Dental Practices",Dental,"56 High Street",Aberdare,"CF44 9SW",13/09/2017,"'01685 813989",NHS
"Dental Clinic","Dental Practices",Dental,"Denbigh Infirmary Ruthin Road",Denbighshire,"LL16 3AP",,"'01745 818115",NHS
"Dental Department","Dental Practices",Dental,"Keir Hardie Health Park","Merthyr Tydfil","CF48 1BZ",,"'01685 351000",NHS
"Dental Excellence","Dental Practices",Dental,"2 Station Road",Pembroke,"SA71 4AH",14/07/2022,"'01646 680444","NHS, Private/Independent"
"Cymmer Dental Surgery","Dental Practices",Dental,"Health Centre Cymmer","Port Talbot","SA13 3HR",15/01/2020,"'01639 851908",NHS
"Llandudno Dental Limited","Dental Practices",Dental,"49 Madoc Street",Llandudno,"LL30 2TW",10/04/2018,"'01492 876405","NHS, Private/Independent"
"Dental Surgery Sinervo","Dental Practices",Dental,"3 High Street ",Bethesda,"LL57 3AE",17/08/2017,"'01248 600 205",Private/Independent
"Bridge Street Dental","Dental Practices",Dental,"21-23 Bridge Street",Haverfordwest,"SA61 2AL",09/12/2019,"'01437 766958","NHS, Private/Independent"
"Dental Teaching Unit","Dental Practices",Dental,"Leith House",Porth,"CF39 9PH",,"'01443 680168",NHS
"MyDentist – Llanrumney (de-registered 9/02/2026)","Dental Practices",Dental,"62 Countisbury Avenue",Llanrumney,"CF3 5SN",18/10/2017,"'029 2077 7708","NHS, Private/Independent"
"MyDentist – Quay Street, Cardiff (de-registered 9/02/2026)","Dental Practices",Dental,"17 Quay Street",Cardiff,"CF10 1EA",22/06/2017,"'029 20 373389","NHS, Private/Independent"
"MyDentist – Tonypandy","Dental Practices",Dental,"49 Dunraven Street",Tonypandy,"CF40 1AL",05/10/2017,"'01443  430535","NHS, Private/Independent"
"Deri Dental Practice","Dental Practices",Dental,"Old Bank House Bridge Street","Llanfair Caereinion","SY21 0RZ",14/09/2017,"'01938 811055",NHS
"Dermaskin Cardiff",Clinics,"Dental, Laser - non-surgical (e.g. hair or tattoo removal)","LGF York Court, Schooner Way",Cardiff,"CF10 4DY",04/02/2026,"'02920 090809",Private/Independent
"Derwendeg Medical Centre","GP Surgeries","GP services","Trimsaran Leisure Centre, Heol Llanelli",,"SA17 4AA",,"'01554 810223",NHS
"Devon Place 7 Day Dental","Dental Practices",Dental,"52 Devon Place",Newport,"NP20 4NU",30/04/2025,"'01633 263652",Private/Independent
"Dew Street Dental Practice","Dental Practices",Dental,"31 Dew Street",Haverfordwest,"SA61 1ST",15/11/2018,"'01437 762709",Private/Independent
"Dewi Sant Hospital",Hospitals,,"Albert Road",Pontypridd,"CF37 1LB",09/07/2025,"'01443 486222",NHS
"DeWinton Field Practice","GP Surgeries","GP services",,Tonypandy,"CF40 2LE",,"'01443 432112",NHS
"Dinas Powys Medical Centre","GP Surgeries","GP services","Murch Road","Dinas Powys","CF64 4RE",10/04/2025,"'029 2051 2293",NHS
"Grosvenor Place Dental Practice","Dental Practices",Dental,"4 Grosvenor Street",Flintshire,"CH7 1EJ",19/12/2018,"'01352 753777","NHS, Private/Independent"
"Grove Medical Centre","GP Surgeries","GP services","6 Uplands Terrace Uplands",Swansea,SA20GU,,"'01792 643000",NHS
"Gupta and Gupta Limited","Dental Practices",Dental,"Charles Street Dental Surgery",Newport,"NP20 1JT",23/08/2017,"'01633 254414",NHS
"Gupta Dental Surgeons","Dental Practices",Dental,"41 Forge Road","Port Talbot","SA13 1PG",02/12/2021,"'01639 886609",Private/Independent
"Perlau Gwyn Dental Care","Dental Practices",Dental,"100 Cathedral Road",Cardiff,"CF11 9LP",,"'02920 220794",Private/Independent
"Gwaun Cae Gurwen Dental Practice","Dental Practices",Dental,"97 Heol Cae Gurwen",Ammanford,"SA18 1PB",03/09/2025,"'01269 822885","NHS, Private/Independent"
"Gwaunmiskin Surgery","GP Surgeries","GP services","Gwaunmiskin Road Beddau",Pontypridd,"CF38 2AU",,"'01443 219810",NHS
"Gwena Dental Care","Dental Practices",Dental,"1st Floor Lancester House, 106 Maes y Coed Road",Cardiff,"CF14 4HE",05/06/2017,"'02920 615279",Private/Independent
