ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POSTCODE,TELEPHONE_NO,DENTISTTYPE,LCG,LGD
41/43 HOLYWOOD ROAD,,BELFAST,,BT4 3BA,02890471266,GDS,BELFAST,BELFAST
42 NORTH STREET,,LURGAN,,BT67 9AH,02838322821,GDS,SOUTHERN,CRAIGAVON
424 LISBURN ROAD,,BELFAST,,BT9 6GN,02890382262,GDS,BELFAST,BELFAST
438 LISBURN ROAD,,BELFAST,,BT9 6GR,02890200330,GDS,BELFAST,BELFAST
45 THOMAS STREET,,PORTADOWN,,BT62 3AF,02838332656,GDS,SOUTHERN,CRAIGAVON
451/453 FALLS ROAD,,BELFAST,,BT12 6DD,02890243107,GDS,BELFAST,BELFAST
462 OLDPARK ROAD,,BELFAST,,BT14 6QG,02890743800,GDS,BELFAST,BELFAST
47 CHURCH STREET,BANBRIDGE,,,BT32 4AA,02840625281,GDS,SOUTHERN,BANBRIDGE
479 ORMEAU ROAD,,BELFAST,,BT7 3GR,02890644797,GDS,BELFAST,BELFAST
48 ANN STREET,,BALLYCASTLE,,BT54 6AD,02820762113,GDS,NORTHERN,MOYLE
5 CASTLE PLACE,,STRABANE,,BT82 8AW,02871382875,GDS,WESTERN,STRABANE
5 HIGHTOWN ROAD,,GLENGORMLEY,,BT36 7TZ,02890833650,GDS,NORTHERN,NEWTOWNABBEY
5 QUEEN STREET,,BALLYMONEY,,BT53 6HZ,02827662166,GDS,NORTHERN,BALLYMONEY
5 ROBERT STREET,,LURGAN,,BT66 8BE,02838327411,GDS,SOUTHERN,CRAIGAVON
5 SUFFOLK PARADE,,BELFAST,,BT11 9JR,02890611688,GDS,BELFAST,BELFAST
535A FALLS ROAD,,BELFAST,,BT11 9AA,02890629296,GDS,BELFAST,BELFAST
56 CASTLE STREET,,COMBER,,BT23 5DZ,02891872839,GDS,SOUTH EASTERN,ARDS
56 MAIN STREET,,KEADY,,BT60 3SU,02837531057,GDS,SOUTHERN,ARMAGH
58 RAILWAY ROAD,,COLERAINE,,BT52 1PF,02870342526,GDS,NORTHERN,COLERAINE
62 CATHERINE STREET,,LIMAVADY,,BT49 9DB,02877722464,GDS,WESTERN,LIMAVADY
7 EBRINGTON TERRACE,,LONDONDERRY,,BT47 6JS,02871344529,GDS,WESTERN,DERRY
73/75 BROUGHSHANE STREET,,BALLYMENA,,BT43 6EB,02825653800,GDS,NORTHERN,BALLYMENA
77 MAIN STREET,,DERRYLIN,,BT92 9LB,02867748069,GDS,WESTERN,FERMANAGH
77 MAIN STREET,,MOIRA,,BT67 0LH,02892612836,GDS,SOUTH EASTERN,LISBURN
78 MAIN STREET,,DUNGIVEN,,BT47 4LG,02877741780,GDS,WESTERN,LIMAVADY
8 FINAGHY ROAD SOUTH,,BELFAST,,BT10 0DR,02890613558,GDS,BELFAST,BELFAST
8 HOLMVIEW TERRACE,CAMPSIE,OMAGH,,BT79 0AH,02882246466,GDS,WESTERN,OMAGH
9 RAILWAY STREET,,STRABANE,,BT82 8EG,02871382750,GDS,WESTERN,STRABANE
9-11 ST PATRICK'S AVE,DOWNPATRICK,,,BT30 6DW,02844616588,GDS,SOUTH EASTERN,DOWN
95 SAINTFIELD ROAD,,BELFAST,,BT8 7HN,02890703215,GDS,BELFAST,CASTLEREAGH
APPLETREE DENTAL CARE,1 THE OLD GASWORK,NEWRY,,BT34 2DH,02830252228,GDS,SOUTHERN,NEWRY & MOURNE
ARMAGH ORTHODONTIC CLINIC,"GILLIS TERRACE, LOUGHGALL ROAD",ARMAGH,,BT61 7NX,02837525665,GDS,SOUTHERN,ARMAGH
BELFAST ORTHODONTIC CENTRE,547 ANTRIM ROAD,BELFAST,,BT15 3BU,028 95039547,GDS,BELFAST,BELFAST
BISHOP ST DENTAL CARE,BISHOP STREET,LONDONDERRY,,BT48 6PR,02871262402,GDS,WESTERN,DERRY
BOVALLY DENTAL PRACTICE,BOVALLY,LIMAVADY,,BT49 0TA,02877766980,GDS,WESTERN,LIMAVADY
CATHEDRAL QUARTER DENTAL,7 MARCUS SQUARE,NEWRY,,BT34 1AY,02830053748,GDS,SOUTHERN,NEWRY & MOURNE
CLEAR DENTAL CARE NI LTD,218 MAIN STREET,LISNASKEA,,BT92 0JG,02867722292,GDS,WESTERN,FERMANAGH
COOKSTOWN FAMILY DENTAL CARE,"1ST FLOOR, MOLESWORTH PLACE",MOLESWORTH STREET,COOKSTOWN,BT80 8NX,02886765914,GDS,NORTHERN,COOKSTOWN
CURRIE & GRIBBEN SURGERY,1 BERESFORD ROW,"THE MALL, ARMAGH",,BT61 9AU,02837525266,GDS,SOUTHERN,ARMAGH
"FIRST FLOOR, LISBURN SQ HOUSE",HASLEMS LANE,LISBURN,,BT28 1TS,02892602201,GDS,SOUTH EASTERN,LISBURN
GREENPARK DENTAL SURGERY,4 GREENPARK TERRACE,ARMAGH,,BT61 7ER,02837528089,GDS,SOUTHERN,ARMAGH
LIVINGSTON DENTAL HEALTHCARE,38 HAMILTON ROAD,BANGOR,,BT20 4LE,02891270426,GDS,SOUTH EASTERN,NORTH DOWN
MALONE DENTAL,54 MALONE ROAD,BELFAST,,BT9 5BS,02890661511,GDS,BELFAST,BELFAST
MORRISON FAMILY DENTAL CARE,11 THE RODDENS,LARNE,,BT40 1QX,02828260981,GDS,NORTHERN,LARNE
ONE DENTAL,1 QUEEN STREET,,LONDONDERRY,BT48 7EF,02871262915,GDS,WESTERN,DERRY
PENTAGON HOUSE,19 GEORGE STREET,BALLYMENA,,BT43 5AP,02825652044,GDS,NORTHERN,BALLYMENA
THE DE COURCEY DENTAL PRACTICE,UNIT 3 LANCASTRIAN STREET,CARRICKFERGUS,,BT38 7AB,02893361000,GDS,NORTHERN,CARRICKFERGUS
VITA DENTAL CARE,5-7 CASTLE STREET,COMBER,,BT23 5DY,02891897897,GDS,SOUTH EASTERN,ARDS
