company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes,email
AVANT COMMUNITY ESTATE AGENTS (ACEA) LTD,13685529,"Highfield House, 1562  Stratford Road, Hall Green, Birmingham, B28 9HA, England",B28 9HA,,,68310,dissolved,2021-10-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hall Green,Companies House API,,
J R ESTATES BIRMINGHAM LTD,10008917,"598 Pershore Road, Selly Park, Birmingham, B29 7HQ, England",B29 7HQ,,,68310,active,2016-02-16,Chanjit Johal (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Selly Oak,Companies House API,no website found,
DRAKES ESTATE AGENTS LTD,14363812,"2 Chamberlain Square, Birmingham, West Midlands, B3 3AX, England",B3 3AX,,,68310,active,2022-09-20,Emma Jane Daffurn (director); Louise Abby Caroline Lane (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,cleared false-positive website,
CHRISSTE LETTINGS & PROPERTY MANAGEMENT LTD,08482403,"193 Longbridge Lane, Longbridge, Birmingham, B31 4JX, England",B31 4JX,,,68310,dissolved,2013-04-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Northfield,Companies House API,,
BARRATT LAST ESTATE AGENTS LIMITED,06786557,"301-303 Chester Road, Castle Bromwich, Birmingham, West Midlands, B36 0JG, England",B36 0JG,03430035817,https://www.barrattlast.co.uk,68310,active,2009-01-08,Leigh Martyn Barratt (director); Martyn Charles Last (director); Rachel Margaret Taylor (director); Martin Paul Canning (director); Terence Malcolm Mills (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hodge Hill,Companies House API,,sales@barrattlast.co.uk
ARDEN ESTATE AGENTS LIMITED,07769522,"13 Coleshill Road, Hodge Hill, Birmingham, B36 8DT, England",B36 8DT,01216876777,https://www.ardenestateagents.co.uk/,68310,active,2011-09-12,Hayley Jane Williams (director); Tina Bennett-Rice (director); Barbara Kahan (director); Paul Vincent Williams (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hodge Hill,Companies House API,,info@ardensales.co.uk
CHOICE HOUSING ESTATE AGENTS LIMITED,05351104,"43 Coleshill Road, Hodge Hill, Birmingham, B36 8DT",B36 8DT,,,68310,active,2005-02-03,Aftab Hussain (director); Arshad Parwaz (director); Naeem Zaid (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hodge Hill,Companies House API,cleared false-positive website,
BIRMINGHAM ESTATE AGENCY LIMITED,08882138,"1310 Solihull Parkway Birmingham Business Park, Solihull, Birmingham, B37 7YB, England",B37 7YB,0003811024,https://birminghamestateagency.co.uk/,68310,active,2014-02-07,Joginderpal Singh Chana (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Solihull,Companies House API,,info@birminghamestateagency.co.uk
EDWARDS AND GRAY ESTATE AGENTS LTD,12719069,"Suite 6 No.1 High Street, Coleshill, Birmingham, B46 1AY, England",B46 1AY,0952266300,https://edwardsandgray.co.uk/,68310,active,2020-07-04,Charlotte Lucy Edwards (director); Emma Louise Gray (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Coleshill,Companies House API,,enquiries@edwardsandgray.co.uk
CHAMBERS ESTATE AGENTS LTD,11941081,"3 Albion Terrace, Water Orton, Birmingham, B46 1ST, United Kingdom",B46 1ST,01216795187,https://www.chambersproperty.net/,"68310, 68320",active,2019-04-11,Claire Chambers (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Coleshill,Companies House API,,info@chambersproperty.net
BARI & BARI THE ESTATE AGENTS LIMITED,16865300,"321 Bradford Street, Birmingham, West Midlands, B5 6ET, England",B5 6ET,,,68310,active,2025-11-19,Jahanara Parvin Ali (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,no website found,
ASHLEY WOULD ESTATE AGENTS LIMITED,12997351,"19 Hereward Rise, Halesowen, B62 8AN, England",B62 8AN,,,68310,active,2020-11-04,Ashley Robert Would (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Halesowen,Companies House API,no website found,
ANSARS ESTATE AGENTS LTD,08378356,"72 Capehill Cape Hill, Smethwick, B66 4PB, England",B66 4PB,,,"66220, 68310, 68320",active,2013-01-28,Ansar Mahmood (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Stourbridge,Companies House API,cleared false-positive website,
LEGAL ESTATES BIRMINGHAM LTD,15222882,"66 Birmingham Street, Oldbury, West Midlands, B69 4DZ, United Kingdom",B69 4DZ,,,68310,active,2023-10-19,Ansar Nasar (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Oldbury,Companies House API,no website found,
AR ESTATE AGENTS LTD,14646436,"113a High Street, West Bromwich, B70 6NY, England",B70 6NY,,,68310,active,2023-02-07,Amandip Kaur Purewal (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,West Bromwich,Companies House API,no website found,
A.B SAAB HOMES ESTATE AGENTS LTD,16654948,"43 Bache Street, West Bromwich, B70 7EW, England",B70 7EW,,,68310,active,2025-08-17,Manjinder Singh (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,West Bromwich,Companies House API,cleared false-positive website,
HARVEYS ESTATE AGENTS LIMITED,04241237,"3b Mere Green Road, Four Oaks, Sutton Coldfield, West Midlands, B75 5BL",B75 5BL,01213080221,https://www.harveys-property.co.uk/,68310,active,2001-06-26,Rebecca Thursfield (director); Charles William Thursfield (director); Charlotte Thursfield (director); Creditreform Secretaries Limited (director); Creditreform Limited (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,B75,Companies House API,,sales@harveys-property.co.uk
GREEN GATE ESTATE AGENTS LTD,09570064,"202 Washwood Heath Road, Birmingham, B8 1RQ, England",B8 1RQ,,,68310,active,2015-04-30,Tanvier Ahmed Ashraf (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Saltley,Companies House API,cleared false-positive website,
OPEN HOUSE ESTATE AGENTS BIRMINGHAM LTD,16530619,"83 Parkfield Road, Alum Rock, Birmingham, B8 3AX, England",B8 3AX,,,68310,active,2025-06-19,Shiba Ghazanfar (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Saltley,Companies House API,no website found,
BRECKON & WOODLEY ESTATE AGENTS LTD,16003565,"Avon House 435 Stratford Road, Shirley, Solihull, West Midlands, B90 4AA, United Kingdom",B90 4AA,,,68310,active,2024-10-08,Kitty Woodley (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Solihull,Companies House API,no website found,
DALTON ESTATE AGENTS LTD,16415096,"435 Stratford Road, Shirley, Solihull, B90 4AA, England",B90 4AA,,,"68310, 68320",active,2025-04-29,Azmeena Aisha Qureshi (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Solihull,Companies House API,no website found,
BARTLEY'S ESTATE AGENTS LTD,05892104,"Manor Walk, High Street, Solihull, West Midlands, B91 3SX",B91 3SX,01217093300,https://www.bartleys-uk.com/,68310,active,2006-07-31,Charlotte Bartley (director); Mark Bartley (director); Duport Secretary Limited (director); Duport Director Limited (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Solihull,Companies House API,,info@bartleys-uk.com
ALDERWOOD ESTATE AGENTS LIMITED,14794877,"878 Old Lode Lane, Solihull, B92 8NF, England",B92 8NF,0447314999999974816091707907617092132568359375,https://alderwoodestates.co.uk/,68310,active,2023-04-12,Jack Paul Williams (director); Hayley Jane Williams (director); Paul Williams (director),,0,Street.co.uk,high,Street.co.uk:street.co.uk,Street.co.uk confirmed,Tier 1 - CRM integration ready,No,,Solihull,Companies House API,,info@alderwoodestates.co.uk
CREST ESTATE AGENTS LIMITED,05895112,"First Floor, 11 Upper Borough Walls, Bath, BA1 1RG, England",BA1 1RG,,,68310,active,2006-08-03,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BA1,Companies House API,,
FORDHAM ESTATE AGENTS LIMITED,15968971,"4 Harcourt Gardens, Bath, BA1 4DL, England",BA1 4DL,,,68310,active,2024-09-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BA1,Companies House API,,
FORDHAMS ESTATE AGENTS LIMITED,15968801,"4 Harcourt Gardens, Bath, BA1 4DL, England",BA1 4DL,,,68310,active,2024-09-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BA1,Companies House API,,
CAMELLA ESTATE AGENTS LTD,14766622,"246 High Street, Batheaston, Bath, BA1 7RA, England",BA1 7RA,,,68310,active,2023-03-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BA1,Companies House API,,
GEOFFREY SMITH ESTATE AGENTS LIMITED,07364328,"The Agricultural Centre Frome Market, Standerwick, Frome, Somerset, BA11 2QB, England",BA11 2QB,,,68310,dissolved,2010-09-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BA11,Companies House API,,
APPLEBY & TOWNEND ESTATE AGENTS LTD,12744725,"54d Frome Road, Bradford-On-Avon, Wiltshire, BA15 1LA, England",BA15 1LA,,,68310,active,2020-07-15,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BA15,Companies House API,,
@HOME ESTATE AGENTS (BATH) LIMITED,08266797,"13 Moorland Road, Bath, BA2 3PL",BA2 3PL,,,68310,active,2012-10-24,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BA2,Companies House API,,
E-VOLVE ESTATE AGENTS LIMITED,09308035,"35 Princes Street 35 Princes Street, Yeovil, Somerset, BA20 1EG, England",BA20 1EG,,,68310,active,2014-11-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BA20,Companies House API,,
BLUE OAK ESTATE AGENTS LIMITED,16181166,"Melbourne House, 36 Chamberlain Street, Wells, BA5 2PJ, England",BA5 2PJ,,,68310,active,2025-01-13,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BA5,Companies House API,,
CURTIS LAW ESTATE AGENTS LIMITED,10863513,"Belthorn House Walker Road, Guide, Blackburn, BB1 2QE, England",BB1 2QE,,,68310,active,2017-07-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB1,Companies House API,,
HOME ESTATE AGENTS (STRETFORD) LIMITED,08259553,"Fist Floor The Portal, Bridgewater Close Network 65, Burnley, BB11 5TT",BB11 5TT,,,68310,liquidation,2012-10-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB11,Companies House API,,
DIAMOND ESTATE AGENTS LTD,07125329,"17 Johnston Street, Blackburn, Lancashire, BB2 1ES",BB2 1ES,,,68310,active,2010-01-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB2,Companies House API,,
DUFFIN'S ESTATE AGENTS LTD,07787541,"334 Bolton Road, Blackburn, BB2 4HY, England",BB2 4HY,,,68310,active,2011-09-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB2,Companies House API,,
HILARY'S ESTATE AGENTS LIMITED,05525599,"Hilary's Estate Agents, 1 Strawberry Bank, Blackburn, Lancashire, BB2 6AA",BB2 6AA,,,68310,active,2005-08-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB2,Companies House API,,
BAXTER ESTATE AGENTS LIMITED,08986836,"16 Wellington Fold, Darwen, Lancashire, BB3 1PU, England",BB3 1PU,,,"68100, 68209, 68310",active,2014-04-08,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB3,Companies House API,,
HAMPSHIRE HELMN ESTATE AGENTS LIMITED,05645625,"16 Wellington Fold, Darwen, Lancashire, BB3 1PU, England",BB3 1PU,,,"68100, 68209, 68310",active,2005-12-06,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB3,Companies House API,,
FARROW & FARROW ESTATE & LETTING AGENTS LTD,08388002,"1a-1b 1a-1b Bank Street, Rawtenstall, Rossendale, BB4 6QS, England",BB4 6QS,,,68310,active,2013-02-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB4,Companies House API,,
DUCKWORTHS ESTATE AGENTS LIMITED,04998545,"7 St James Street, Accrington, Lancashire, BB5 1NE",BB5 1NE,,,68310,active,2003-12-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB5,Companies House API,,
HONEYWELL ESTATE AGENTS LIMITED,05305295,"1 Castlegate, Clitheroe, Lancashire, BB7 1AZ",BB7 1AZ,,,"68310, 68320",active,2004-12-06,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BB7,Companies House API,,
BARKERS ESTATE AGENTS LIMITED,06000130,"4 Old Lane, Birkenshaw, Bradford, West Yorkshire, BD11 2JX",BD11 2JX,,,68310,active,2006-11-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD11,Companies House API,,
BENTLEYS ESTATE AGENTS (BINGLEY) LTD,12733808,"7-9 Briggate, Shipley, BD17 7BP, England",BD17 7BP,,,68310,active,2020-07-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD17,Companies House API,,
BENTLEYS ESTATE AGENTS LTD,08447752,"7 - 9 Briggate, Shipley, BD17 7BP, England",BD17 7BP,,,68310,active,2013-03-15,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD17,Companies House API,,
BAYS ESTATE AGENTS LTD,14847450,"Bays Estate Agents Ltd, Cavendish House, Littlewood Drive, Cleckheaton, BD19 4TE, United Kingdom",BD19 4TE,,,68310,active,2023-05-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD19,Companies House API,,
D W TAYLOR ESTATE AGENTS LIMITED,16694230,"Ground Floor, Cavendish House Littlewood Drive, West 26 Industrial Estate, Cleckheaton, BD19 4TE, England",BD19 4TE,,,68310,active,2025-09-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD19,Companies House API,,
D5 ESTATE AGENTS LIMITED,09328379,"Ewemove Sales & Lettings Ltd Cavendish House, Littlewood Drive, West 26 Business Park, Cleckheaton, BD19 4TE, England",BD19 4TE,,,68310,active,2014-11-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD19,Companies House API,,
DCL ESTATE AGENTS LTD,13306164,"Ground Floor, Cavendish House Littlewood Drive, West 26 Business Park, Cleckheaton, BD19 4TE, England",BD19 4TE,,,68310,active,2021-03-31,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD19,Companies House API,,
DHILLONS ESTATE AGENTS LIMITED,15304892,"Ground Floor, Cavendish House Littlewood Drive, West 26 Industrial Estate, Cleckheaton, BD19 4TE, England",BD19 4TE,,,68310,active,2023-11-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD19,Companies House API,,
GRAYS ESTATE AGENTS LIMITED,15955917,"Ground Floor, Cavendish House Littlewood Drive, West 26 Business Park, Cleckheaton, West Yorkshire, BD19 4TE, England",BD19 4TE,,,68310,dissolved,2024-09-13,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD19,Companies House API,,
DAY & CO ESTATE AGENTS LIMITED,10811421,"28 Cavendish Street, Keighley, West Yorkshire, BD21 3RG, England",BD21 3RG,,,68310,active,2017-06-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BD21,Companies House API,,
DAVID OUSEY ESTATE AGENTS LIMITED,08753949,"Number One Trinity, 161 Old Christchurch Road, Bournemouth, Dorset, BH1 1JU",BH1 1JU,,,68310,active,2013-10-30,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH1,Companies House API,,
ANTHONYS ESTATE AGENTS LIMITED,07708200,"Suite 8 Bourne Gate, 25 Bourne Valley Road, Poole, Dorset, BH12 1DY",BH12 1DY,,,68310,active,2011-07-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH12,Companies House API,,
ARTISAN ESTATE AGENTS LIMITED,08529191,"Unit 3 Vista Place, Ingworth Road, Poole, BH12 1JY, England",BH12 1JY,,,68310,dissolved,2013-05-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH12,Companies House API,,
FALCON AND FOXGLOVE ESTATE AGENTS LTD,04943769,"2 Winchester Place, North Street, Poole, BH15 1NX, England",BH15 1NX,,,68310,active,2003-10-27,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH15,Companies House API,,
HARDWICK ESTATE AGENTS LTD,15481077,"6 Hiley Road, Poole, BH15 3BQ, England",BH15 3BQ,,,68310,active,2024-02-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH15,Companies House API,,
GREYS ESTATE AGENTS LIMITED,06736533,"7 The Triangle, Poole, Dorset, BH16 5PG, United Kingdom",BH16 5PG,,,"68310, 68320",active,2008-10-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH16,Companies House API,,
DEREK J ROLLS ESTATE AGENTS LTD,15594557,"186b Lower Blandford Road, Broadstone, BH18 8DP, England",BH18 8DP,,,68310,active,2024-03-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH18,Companies House API,,
FROST & CO ESTATE AGENTS LTD,04360969,"20 Poole Hill, Bournemouth, Dorset, BH2 5PS",BH2 5PS,,,68310,active,2002-01-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH2,Companies House API,,
FISKS ESTATE AGENTS LIMITED,12475373,"6 Poole Road, Wimborne, Dorset, BH21 1QE, United Kingdom",BH21 1QE,,,68310,active,2020-02-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH21,Companies House API,,
DANEHURST ESTATE AGENTS LTD,14150458,"Uppington Ridge Uppington, Hinton Martell, Wimborne, Dorset, BH21 7HA, United Kingdom",BH21 7HA,,,"68310, 68320",active,2022-06-06,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH21,Companies House API,,
DENISONS ESTATE AGENTS LIMITED,07422284,"12 Castle Street, Christchurch, BH23 1DT, England",BH23 1DT,,,68310,active,2010-10-28,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH23,Companies House API,,
CORBENS ESTATE AGENTS LIMITED,14017724,"9a & 10a Saxon Square, Christchurch, Dorset, BH23 1QA, England",BH23 1QA,,,68310,dissolved,2022-04-01,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH23,Companies House API,,
CASTLEMAN ESTATE AGENTS LTD,12566065,"1a Kingsbury's Lane, Ringwood, Hampshire, BH24 1EL, England",BH24 1EL,,,68310,dissolved,2020-04-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH24,Companies House API,,
HARRISON ESTATE AGENTS LIMITED,04538654,"7 Whitefield Road, New Milton, BH25 6DE, England",BH25 6DE,,,68310,dissolved,2002-09-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH25,Companies House API,,
GILES ESTATE AGENTS LTD,11820498,"168 Tuckton Road, Bournemouth, Dorset, BH6 3JX, England",BH6 3JX,,,68310,active,2019-02-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH6,Companies House API,,
AFFORDABLE ESTATE AGENTS LIMITED,13384696,"Third Floor, Tringham House, Deansleigh Road, Bournemouth, BH7 7DT, England",BH7 7DT,,,68310,active,2021-05-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH7,Companies House API,,
ASPIN & CO ESTATE AGENTS LTD,15356857,"557 Charminster Road, Bournemouth, BH8 9RF, England",BH8 9RF,,,68310,dissolved,2023-12-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BH8,Companies House API,,
HARPER WILLIAMS ESTATE AGENTS LTD,10446786,"67 Chorley Old Road, Bolton, BL1 3AJ, England",BL1 3AJ,,,"68310, 68320",active,2016-10-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BL1,Companies House API,,
BADSHAH LETTINGS AGENTS LTD,16148055,"59 Hallbridge Gardens, Bolton, BL1 8UT, United Kingdom",BL1 8UT,,,"43390, 68310, 68320",active,2024-12-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BL1,Companies House API,,
COPELANDS ESTATE AGENTS LIMITED,09420393,"85 Church Street, Westhoughton, Bolton, BL5 3RZ, England",BL5 3RZ,,,68310,active,2015-02-03,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BL5,Companies House API,,
COOPER ESTATE AGENTS LIMITED,16126305,"Belmont Suite, Paragon Business Park, Chorley New Road, Bolton, Lancashire, BL6 6HG, England",BL6 6HG,,,68310,dissolved,2024-12-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BL6,Companies House API,,
BURTON JAMES ESTATE AGENTS LIMITED,13805568,"Unit A7, Suite A4, Ashworth House Rear, Deakins Business, Blackburn Road, Bolton, Lancashire, BL7 9RP, England",BL7 9RP,,,68310,active,2021-12-17,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BL7,Companies House API,,
BRIAN PILKINGTON ESTATE AGENTS LTD,03844710,"70 Market Street, Tottington, Bury, Lancashire, BL8 3LJ",BL8 3LJ,,,68310,active,1999-09-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BL8,Companies House API,,
HALL'S ESTATE AGENTS LIMITED,03384984,"27 New Road, Brighton, BN1 1UG, England",BN1 1UG,,,"68310, 99999",active,1997-06-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN1,Companies House API,,
BLUE HOME ESTATE AGENTS LIMITED,15786786,"91 Ditchling Road, Flat 1, Brighton, BN1 4SD, England",BN1 4SD,,,68310,active,2024-06-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN1,Companies House API,,
HOOLE ESTATE AGENTS LIMITED,05825625,"214 Dyke Road, Brighton, East Sussex, BN1 5AA",BN1 5AA,,,68310,active,2006-05-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN1,Companies House API,,
