company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes,email,branch_id,profile_url,rightmove_company_id
Aaron Holmes,,Gants Hill,,020 3834 8443,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Gants Hill,Rightmove Essex directory,branch_id:117148; profile:https://www.rightmove.co.uk/estate-agents/agent/Aaron-Holmes/Gants-Hill-117148.html; sales:Yes; lettings:No; phones:020 3834 8443,,117148,https://www.rightmove.co.uk/estate-agents/agent/Aaron-Holmes/Gants-Hill-117148.html,42241
Abbotts,,"53 Southernhay, Basildon, Essex, SS14 1EU",SS14 1EU,01268 202704,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Basildon,Rightmove Essex directory,branch_id:171; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Basildon-171.html; sales:Yes; lettings:No; phones:01268 202704,,171,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Basildon-171.html,45
Abbotts,,"Tindal House, , 
Tindal Square, , 
Chelmsford, , 
CM1 1EH",CM1 1EH,01245 945062,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Chelmsford,Rightmove Essex directory,branch_id:172; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Chelmsford-172.html; sales:Yes; lettings:No; phones:01245 945062,,172,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Chelmsford-172.html,45
Abbotts,,"113 High Street, 
Colchester, 
CO1 1TB",CO1 1TB,01206 586064,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Colchester,Rightmove Essex directory,branch_id:176; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Colchester-176.html; sales:Yes; lettings:No; phones:01206 586064,,176,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Colchester-176.html,45
Abbotts,,"128 High Street, Rayleigh, Essex, SS6 7BU",SS6 7BU,01268 202660,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Rayleigh,Rightmove Essex directory,branch_id:183; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Rayleigh-183.html; sales:Yes; lettings:No; phones:01268 202660,,183,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Rayleigh-183.html,45
Abbotts,,"16 Market Square, West Street, Rochford, Essex, SS4 1AJ",SS4 1AJ,01702 967229,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Rochford,Rightmove Essex directory,branch_id:184; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Rochford-184.html; sales:Yes; lettings:No; phones:01702 967229,,184,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Rochford-184.html,45
Abbotts,,"154 The Broadway, Thorpe Bay, Southend on Sea, Essex, SS1 3ES",SS1 3ES,01702 967929,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Thorpe Bay,Rightmove Essex directory,branch_id:186; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Thorpe-Bay-186.html; sales:Yes; lettings:No; phones:01702 967929,,186,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Thorpe-Bay-186.html,45
Abbotts Lettings,,"53 Southernhay,, 
Basildon,, 
SS14 1EU",SS14 1EU,01268 214443,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Basildon,Rightmove Essex directory,branch_id:110687; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Basildon-110687.html; sales:No; lettings:Yes; phones:01268 214443,,110687,https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Basildon-110687.html,1500
Abbotts Lettings,,"Tindal House, , 
Tindal Square,, 
Chelmsford, , 
CM1 1EH",CM1 1EH,01245 206517,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Chelmsford,Rightmove Essex directory,branch_id:5121; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Chelmsford-5121.html; sales:No; lettings:Yes; phones:01245 206517,,5121,https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Chelmsford-5121.html,1500
Abbotts Lettings,,"113, 
High Street, 
Colchester, 
CO1 1TB",CO1 1TB,01206 586108,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Colchester,Rightmove Essex directory,branch_id:76915; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Colchester-76915.html; sales:No; lettings:Yes; phones:01206 586108,,76915,https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Colchester-76915.html,1500
Abbotts Lettings,,"128 High Street,, 
Rayleigh,, 
SS6 7BU",SS6 7BU,01268 983047,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Rayleigh,Rightmove Essex directory,branch_id:51159; profile:https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Rayleigh-51159.html; sales:No; lettings:Yes; phones:01268 983047,,51159,https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Rayleigh-51159.html,1500
Abc Gone,,"33 Station Road,, 
Harold Wood,, 
Romford,, 
RM3 0BS",RM3 0BS,020 4572 4024,https://www.abcgone.com,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Romford,Rightmove Essex directory,branch_id:285629; profile:https://www.rightmove.co.uk/estate-agents/agent/Abc-Gone/Romford-285629.html; sales:No; lettings:Yes; phones:020 4572 4024; emails:info@abcgone.com,info@abcgone.com,285629,https://www.rightmove.co.uk/estate-agents/agent/Abc-Gone/Romford-285629.html,92243
Abode,,"380-382 High Road,, 
Woodford Green,, 
IG8 0XQ",IG8 0XQ,020 3871 6585,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Woodford Green,Rightmove Essex directory,branch_id:77447; profile:https://www.rightmove.co.uk/estate-agents/agent/Abode/Woodford-Green-77447.html; sales:No; lettings:Yes; phones:020 3871 6585,,77447,https://www.rightmove.co.uk/estate-agents/agent/Abode/Woodford-Green-77447.html,30689
Accord Sales & Lettings,,"221, 
Pettits Lane North, 
Romford, 
RM1 4NU",RM1 4NU,01708 973543,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,serving Havering,Rightmove Essex directory,branch_id:68735; profile:https://www.rightmove.co.uk/estate-agents/agent/Accord-Sales-and-Lettings/serving-Havering-68735.html; sales:No; lettings:Yes; phones:01708 973543,,68735,https://www.rightmove.co.uk/estate-agents/agent/Accord-Sales-and-Lettings/serving-Havering-68735.html,26942
Adam Stein & Co. Ltd,,"Suit B1, Sterling House Langston Road,, 
Loughton,, 
IG10 3TS",IG10 3TS,020 4538 1132,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Loughton,Rightmove Essex directory,branch_id:284726; profile:https://www.rightmove.co.uk/estate-agents/agent/Adam-Stein-and-Co-Ltd/Loughton-284726.html; sales:Yes; lettings:Yes; phones:020 4538 1132; 020 8059 4362,,284726,https://www.rightmove.co.uk/estate-agents/agent/Adam-Stein-and-Co-Ltd/Loughton-284726.html,91733
Adrians,,"16 Duke Street, 
Chelmsford, 
CM1 1UP",CM1 1UP,01245 945751,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Chelmsford,Rightmove Essex directory,branch_id:7361; profile:https://www.rightmove.co.uk/estate-agents/agent/Adrians/Chelmsford-7361.html; sales:Yes; lettings:Yes; phones:01245 945748; 01245 945751,,7361,https://www.rightmove.co.uk/estate-agents/agent/Adrians/Chelmsford-7361.html,2418
Advance Glenisters,,"116 North Street,, 
Romford,, 
RM1 1DL",RM1 1DL,01708 766667,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Romford,Rightmove Essex directory,branch_id:189473; profile:https://www.rightmove.co.uk/estate-agents/agent/Advance-Glenisters/Romford-189473.html; sales:Yes; lettings:No; phones:01708 766667,,189473,https://www.rightmove.co.uk/estate-agents/agent/Advance-Glenisters/Romford-189473.html,3796
Advance Glenisters,,", 
 , 
116 North Street, 
Romford, 
RM1 1DL ,",RM1 1DL,01708 204922,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Romford,Rightmove Essex directory,branch_id:10725; profile:https://www.rightmove.co.uk/estate-agents/agent/Advance-Glenisters/Romford-10725.html; sales:No; lettings:Yes; phones:01708 204922,,10725,https://www.rightmove.co.uk/estate-agents/agent/Advance-Glenisters/Romford-10725.html,3796
Alan Jacob Estates,,"Unit 27,, 
Icon Office , , 
321-323 High Rd, , 
Romford,, 
RM6 6AX",RM6 6AX,01708 596303,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Chadwell Heath,Rightmove Essex directory,branch_id:278522; profile:https://www.rightmove.co.uk/estate-agents/agent/Alan-Jacob-Estates/Chadwell-Heath-278522.html; sales:Yes; lettings:No; phones:01708 596303,,278522,https://www.rightmove.co.uk/estate-agents/agent/Alan-Jacob-Estates/Chadwell-Heath-278522.html,88940
Ali & Co,,"23 Lodge Lane,, 
Grays,, 
Essex, 
RM17 5RY",RM17 5RY,01375 803693,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Essex,Rightmove Essex directory,branch_id:281882; profile:https://www.rightmove.co.uk/estate-agents/agent/Ali-and-Co/Essex-281882.html; sales:Yes; lettings:Yes; phones:01375 803693; 01375 803801,,281882,https://www.rightmove.co.uk/estate-agents/agent/Ali-and-Co/Essex-281882.html,90650
Ali & Co Property Services,,"23 Lodge Lane,, 
Grays,, 
RM17 5RY",RM17 5RY,01375 803538,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Grays,Rightmove Essex directory,branch_id:228101; profile:https://www.rightmove.co.uk/estate-agents/agent/Ali-and-Co-Property-Services/Grays-228101.html; sales:Yes; lettings:Yes; phones:01375 802173; 01375 803538,,228101,https://www.rightmove.co.uk/estate-agents/agent/Ali-and-Co-Property-Services/Grays-228101.html,69635
Allsop Single Family Housing,,"Great Dunmow, , 
Blackwater Drive, , 
Dunmow, , 
CM6 4BR",CM6 4BR,01279 744535,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Great Dunmow,Rightmove Essex directory,branch_id:285860; profile:https://www.rightmove.co.uk/estate-agents/agent/Allsop-Single-Family-Housing/Great-Dunmow-285860.html; sales:No; lettings:Yes; phones:01279 744535,,285860,https://www.rightmove.co.uk/estate-agents/agent/Allsop-Single-Family-Housing/Great-Dunmow-285860.html,90692
Allsop Single Family Housing,,"Towerlands Park,, 
Deanery Hill,, 
Braintree,, 
CM7 5BJ",CM7 5BJ,01376 319149,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Spinning Fields,Rightmove Essex directory,branch_id:260255; profile:https://www.rightmove.co.uk/estate-agents/agent/Allsop-Single-Family-Housing/Spinning-Fields-260255.html; sales:No; lettings:Yes; phones:01376 319149,,260255,https://www.rightmove.co.uk/estate-agents/agent/Allsop-Single-Family-Housing/Spinning-Fields-260255.html,90692
Alternative Property Services,,"4 North Street,, 
Hornchurch,, 
RM11 1QX",RM11 1QX,01708 205511,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hornchurch,Rightmove Essex directory,branch_id:9186; profile:https://www.rightmove.co.uk/estate-agents/agent/Alternative-Property-Services/Hornchurch-9186.html; sales:No; lettings:Yes; phones:01708 205511,,9186,https://www.rightmove.co.uk/estate-agents/agent/Alternative-Property-Services/Hornchurch-9186.html,3108
Amanda Roberts,,"118 Station Road,, 
London,, 
E4 6AB",E4 6AB,020 3910 6386,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,North Chingford,Rightmove Essex directory,branch_id:63076; profile:https://www.rightmove.co.uk/estate-agents/agent/Amanda-Roberts/North-Chingford-63076.html; sales:Yes; lettings:Yes; phones:020 3834 8723; 020 3910 6386,,63076,https://www.rightmove.co.uk/estate-agents/agent/Amanda-Roberts/North-Chingford-63076.html,4070
Ambassador Property Services,,"The Coach House, 
Market Place, 
Abridge, 
Essex, 
RM4 1UA",RM4 1UA,020 8500 8855,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Abridge,Rightmove Essex directory,branch_id:220430; profile:https://www.rightmove.co.uk/estate-agents/agent/Ambassador-Property-Services/Abridge-220430.html; sales:Yes; lettings:Yes; phones:020 8500 8855,,220430,https://www.rightmove.co.uk/estate-agents/agent/Ambassador-Property-Services/Abridge-220430.html,67016
Amos Estates,,"319 London Road,, 
Hadleigh,, 
Benfleet,, 
SS7 2BN",SS7 2BN,01702 555888,https://amosestates.com,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hadleigh,Rightmove Essex directory,branch_id:10062; profile:https://www.rightmove.co.uk/estate-agents/agent/Amos-Estates/Hadleigh-10062.html; sales:Yes; lettings:Yes; phones:01702 555888; emails:Jessica@amosestates.com,Jessica@amosestates.com,10062,https://www.rightmove.co.uk/estate-agents/agent/Amos-Estates/Hadleigh-10062.html,3455
Amos Estates,,"1A Spa Road,, 
Hockley,, 
Essex,, 
SS5 4AZ",SS5 4AZ,01702 967943,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hockley,Rightmove Essex directory,branch_id:152048; profile:https://www.rightmove.co.uk/estate-agents/agent/Amos-Estates/Hockley-152048.html; sales:Yes; lettings:No; phones:01702 967943,,152048,https://www.rightmove.co.uk/estate-agents/agent/Amos-Estates/Hockley-152048.html,3455
Andersons of Felsted Limited,,"The Village Braintree Road,, 
Felsted,, 
Dunmow,, 
CM6 3DX",CM6 3DX,01371 708213,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Felsted,Rightmove Essex directory,branch_id:17337; profile:https://www.rightmove.co.uk/estate-agents/agent/Andersons-of-Felsted-Limited/Felsted-17337.html; sales:Yes; lettings:No; phones:01371 708213,,17337,https://www.rightmove.co.uk/estate-agents/agent/Andersons-of-Felsted-Limited/Felsted-17337.html,38233
Andersons of Felsted Limited,,"Baker's Cottage, , 
Cage End,, 
Hatfield Broad Oak,, 
CM22 7HZ ,",CM22 7HZ,01279 594787,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hatfield Broad Oak,Rightmove Essex directory,branch_id:53358; profile:https://www.rightmove.co.uk/estate-agents/agent/Andersons-of-Felsted-Limited/Hatfield-Broad-Oak-53358.html; sales:No; lettings:Yes; phones:01279 594787,,53358,https://www.rightmove.co.uk/estate-agents/agent/Andersons-of-Felsted-Limited/Hatfield-Broad-Oak-53358.html,38233
Andrews Estate Agents,,"20 North Street,, 
Romford,, 
RM1 1BH",RM1 1BH,01708 205503,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Romford,Rightmove Essex directory,branch_id:136406; profile:https://www.rightmove.co.uk/estate-agents/agent/Andrews-Estate-Agents/Romford-136406.html; sales:Yes; lettings:No; phones:01708 205503,,136406,https://www.rightmove.co.uk/estate-agents/agent/Andrews-Estate-Agents/Romford-136406.html,256
Andrews Letting and Management,,"20 North Street,, 
Romford,, 
RM1 1BH",RM1 1BH,01708 206959,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Romford,Rightmove Essex directory,branch_id:34352; profile:https://www.rightmove.co.uk/estate-agents/agent/Andrews-Letting-and-Management/Romford-34352.html; sales:No; lettings:Yes; phones:01708 206959,,34352,https://www.rightmove.co.uk/estate-agents/agent/Andrews-Letting-and-Management/Romford-34352.html,256
Anthony Quirk & Co,,"82 Furtherwick Road, 
Canvey Island, 
SS8 7AJ",SS8 7AJ,01268 203943,https://www.anthonyquirk.com,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Canvey Island,Rightmove Essex directory,branch_id:6311; profile:https://www.rightmove.co.uk/estate-agents/agent/Anthony-Quirk-and-Co/Canvey-Island-6311.html; sales:Yes; lettings:Yes; phones:01268 203943; 01268 439952; emails:sales@antonyquirk.com,sales@antonyquirk.com,6311,https://www.rightmove.co.uk/estate-agents/agent/Anthony-Quirk-and-Co/Canvey-Island-6311.html,15486
Apple Property Services,,"87 Park Lane, 
Hornchurch, 
RM11 1BH",RM11 1BH,01708 704768,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hornchurch,Rightmove Essex directory,branch_id:151424; profile:https://www.rightmove.co.uk/estate-agents/agent/Apple-Property-Services/Hornchurch-151424.html; sales:Yes; lettings:Yes; phones:01708 207001; 01708 704768,,151424,https://www.rightmove.co.uk/estate-agents/agent/Apple-Property-Services/Hornchurch-151424.html,89258
Appointmoor Estates,,"72 The Ridgeway,, 
Westcliff-On-Sea,, 
SS0 8NU",SS0 8NU,01702 967991,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Westcliff-On-Sea,Rightmove Essex directory,branch_id:10117; profile:https://www.rightmove.co.uk/estate-agents/agent/Appointmoor-Estates/Westcliff-On-Sea-10117.html; sales:Yes; lettings:No; phones:01702 967991,,10117,https://www.rightmove.co.uk/estate-agents/agent/Appointmoor-Estates/Westcliff-On-Sea-10117.html,3488
Appointmoor Estates,,"72 The Ridgeway,, 
Westcliff-On-Sea,, 
SS0 8NU",SS0 8NU,01702 416544,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Westcliff-On-Sea,Rightmove Essex directory,branch_id:10120; profile:https://www.rightmove.co.uk/estate-agents/agent/Appointmoor-Estates/Westcliff-On-Sea-10120.html; sales:No; lettings:Yes; phones:01702 416544,,10120,https://www.rightmove.co.uk/estate-agents/agent/Appointmoor-Estates/Westcliff-On-Sea-10120.html,3488
Arbon & Miller,,"86B High Street,, 
Barkingside,, 
Ilford,, 
Essex,, 
IG6 2DR",IG6 2DR,020 3872 5288,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Barkingside,Rightmove Essex directory,branch_id:10099; profile:https://www.rightmove.co.uk/estate-agents/agent/Arbon-and-Miller/Barkingside-10099.html; sales:Yes; lettings:Yes; phones:020 3872 5288; 020 3889 9130,,10099,https://www.rightmove.co.uk/estate-agents/agent/Arbon-and-Miller/Barkingside-10099.html,3474
Ardent Estates,,Maldon,,01621 731468,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Maldon,Rightmove Essex directory,branch_id:110734; profile:https://www.rightmove.co.uk/estate-agents/agent/Ardent-Estates/Maldon-110734.html; sales:Yes; lettings:No; phones:01621 731468,,110734,https://www.rightmove.co.uk/estate-agents/agent/Ardent-Estates/Maldon-110734.html,39976
Arise Innovation Hubs,,"Bishop Hall Lane,, 
Chelmsford,, 
CM1 1SQ",CM1 1SQ,01245 950905,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Arise Chelmsford,Rightmove Essex directory,branch_id:82533; profile:https://www.rightmove.co.uk/estate-agents/agent/Arise-Innovation-Hubs/Arise-Chelmsford-82533.html; sales:No; lettings:Yes; phones:01245 950905,,82533,https://www.rightmove.co.uk/estate-agents/agent/Arise-Innovation-Hubs/Arise-Chelmsford-82533.html,26592
Arise Innovation Hubs,,"Arise Innovation HubHarlow Innovation Park, Maypole, 
Boulevard, Harlow, Essex,",,01279 598088,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Arise Harlow,Rightmove Essex directory,branch_id:82539; profile:https://www.rightmove.co.uk/estate-agents/agent/Arise-Innovation-Hubs/Arise-Harlow-82539.html; sales:No; lettings:Yes; phones:01279 598088,,82539,https://www.rightmove.co.uk/estate-agents/agent/Arise-Innovation-Hubs/Arise-Harlow-82539.html,26592
Arkwright & Co,,"51 High Street,, 
Saffron Walden,, 
CB10 1AR",CB10 1AR,01799 610915,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Saffron Walden,Rightmove Essex directory,branch_id:253358; profile:https://www.rightmove.co.uk/estate-agents/agent/Arkwright-and-Co/Saffron-Walden-253358.html; sales:Yes; lettings:Yes; phones:01799 610915; 01799 611224,,253358,https://www.rightmove.co.uk/estate-agents/agent/Arkwright-and-Co/Saffron-Walden-253358.html,78218
