branch_id,company_name,branch_display_name,branch_town,postcode,phone,phones_found,website,emails_found,sales,lettings,profile_url,rightmove_company_id,registered_office_address
220430,Ambassador Property Services,"Ambassador Property Services, Abridge",Abridge,RM4 1UA,020 8500 8855,020 8500 8855,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Ambassador-Property-Services/Abridge-220430.html,67016,"The Coach House, 
Market Place, 
Abridge, 
Essex, 
RM4 1UA"
10062,Amos Estates,"Amos Estates, Hadleigh",Hadleigh,SS7 2BN,01702 555888,01702 555888,https://amosestates.com,Jessica@amosestates.com,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Amos-Estates/Hadleigh-10062.html,3455,"319 London Road,, 
Hadleigh,, 
Benfleet,, 
SS7 2BN"
152048,Amos Estates,"Amos Estates, Hockley",Hockley,SS5 4AZ,01702 967943,01702 967943,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Amos-Estates/Hockley-152048.html,3455,"1A Spa Road,, 
Hockley,, 
Essex,, 
SS5 4AZ"
17337,Andersons of Felsted Limited,"Andersons of Felsted Limited, Felsted",Felsted,CM6 3DX,01371 708213,01371 708213,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Andersons-of-Felsted-Limited/Felsted-17337.html,38233,"The Village Braintree Road,, 
Felsted,, 
Dunmow,, 
CM6 3DX"
53358,Andersons of Felsted Limited,"Andersons of Felsted Limited, Hatfield Broad Oak",Hatfield Broad Oak,CM22 7HZ,01279 594787,01279 594787,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Andersons-of-Felsted-Limited/Hatfield-Broad-Oak-53358.html,38233,"Baker's Cottage, , 
Cage End,, 
Hatfield Broad Oak,, 
CM22 7HZ ,"
136406,Andrews Estate Agents,"Andrews Estate Agents, Romford",Romford,RM1 1BH,01708 205503,01708 205503,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Andrews-Estate-Agents/Romford-136406.html,256,"20 North Street,, 
Romford,, 
RM1 1BH"
34352,Andrews Letting and Management,"Andrews Letting and Management, Romford",Romford,RM1 1BH,01708 206959,01708 206959,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Andrews-Letting-and-Management/Romford-34352.html,256,"20 North Street,, 
Romford,, 
RM1 1BH"
6311,Anthony Quirk & Co,"Anthony Quirk & Co, Canvey Island",Canvey Island,SS8 7AJ,01268 203943,01268 203943; 01268 439952,https://www.anthonyquirk.com,sales@antonyquirk.com,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Anthony-Quirk-and-Co/Canvey-Island-6311.html,15486,"82 Furtherwick Road, 
Canvey Island, 
SS8 7AJ"
151424,Apple Property Services,"Apple Property Services, Hornchurch",Hornchurch,RM11 1BH,01708 704768,01708 207001; 01708 704768,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Apple-Property-Services/Hornchurch-151424.html,89258,"87 Park Lane, 
Hornchurch, 
RM11 1BH"
10117,Appointmoor Estates,"Appointmoor Estates, Westcliff-On-Sea",Westcliff-On-Sea,SS0 8NU,01702 967991,01702 967991,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Appointmoor-Estates/Westcliff-On-Sea-10117.html,3488,"72 The Ridgeway,, 
Westcliff-On-Sea,, 
SS0 8NU"
10120,Appointmoor Estates,"Appointmoor Estates, Westcliff-On-Sea",Westcliff-On-Sea,SS0 8NU,01702 416544,01702 416544,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Appointmoor-Estates/Westcliff-On-Sea-10120.html,3488,"72 The Ridgeway,, 
Westcliff-On-Sea,, 
SS0 8NU"
10099,Arbon & Miller,"Arbon & Miller, Barkingside",Barkingside,IG6 2DR,020 3872 5288,020 3872 5288; 020 3889 9130,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Arbon-and-Miller/Barkingside-10099.html,3474,"86B High Street,, 
Barkingside,, 
Ilford,, 
Essex,, 
IG6 2DR"
110734,Ardent Estates,"Ardent Estates, Maldon",Maldon,,01621 731468,01621 731468,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Ardent-Estates/Maldon-110734.html,39976,Maldon
82533,Arise Innovation Hubs,"Arise Innovation Hubs, Arise Chelmsford",Arise Chelmsford,CM1 1SQ,01245 950905,01245 950905,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Arise-Innovation-Hubs/Arise-Chelmsford-82533.html,26592,"Bishop Hall Lane,, 
Chelmsford,, 
CM1 1SQ"
82539,Arise Innovation Hubs,"Arise Innovation Hubs, Arise Harlow",Arise Harlow,,01279 598088,01279 598088,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Arise-Innovation-Hubs/Arise-Harlow-82539.html,26592,"Arise Innovation HubHarlow Innovation Park, Maypole, 
Boulevard, Harlow, Essex,"
253358,Arkwright & Co,"Arkwright & Co, Saffron Walden",Saffron Walden,CB10 1AR,01799 610915,01799 610915; 01799 611224,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Arkwright-and-Co/Saffron-Walden-253358.html,78218,"51 High Street,, 
Saffron Walden,, 
CB10 1AR"
108955,Arkwright & Co,"Arkwright & Co, Saffron Walden",Saffron Walden,CB10 1ES,01799 611271,01799 611271,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Arkwright-and-Co/Saffron-Walden-108955.html,39250,"22 King Street,, 
Saffron Walden,, 
CB10 1ES"
272918,Arkwright & Co,"Arkwright & Co, Saffron Walden",Saffron Walden,CB10 1ES,01799 619639,01799 619639,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Arkwright-and-Co/Saffron-Walden-272918.html,39250,"22 King Street, 
Saffron Walden, 
CB10 1ES"
269276,Ashleigh Stone,"Ashleigh Stone, Leigh on Sea",Leigh on Sea,SS9 1PG,01702 904156,01702 904156,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Ashleigh-Stone/Leigh-on-Sea-269276.html,17030,"107 The Broadway,, 
Leigh-On-Sea,, 
SS9 1PG"
42863,Ashleigh Stone,"Ashleigh Stone, Leigh on Sea",Leigh on Sea,SS9 1PG,01702 967591,01702 967591,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Ashleigh-Stone/Leigh-on-Sea-42863.html,17030,"107 The Broadway,, 
Leigh-On-Sea,, 
SS9 1PG"
71472,Ashton & Perkins,"Ashton & Perkins, Romford",Romford,RM1 2JH,01708 947401,01708 206811; 01708 947401,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Ashton-and-Perkins/Romford-71472.html,2042,"60 Victoria Road,, 
Romford,, 
RM1 2JH"
83463,Ashton White Estates,"Ashton White Estates, Billericay",Billericay,CM12 9DF,01277 674619,01277 674588; 01277 674619,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Ashton-White-Estates/Billericay-83463.html,27231,"140 High Street,, 
Billericay,, 
CM12 9DF"
110183,Aspire Estate Agents,"Aspire Estate Agents, Benfleet",Benfleet,SS7 5HZ,01268 203954,01268 203954; 01268 978997,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Aspire-Estate-Agents/Benfleet-110183.html,15915,"227 High Road,, 
Benfleet,, 
SS7 5HZ"
278477,Aspire Lettings South East,"Aspire Lettings South East, Chelmsford",Chelmsford,CM3 1HZ,01245 959803,01245 959803,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Aspire-Lettings-South-East/Chelmsford-278477.html,88919,"Woods Farm, Grange Road,, 
Pleshey,, 
CM3 1HZ"
134441,Atlantic Estates,"Atlantic Estates, London",London,E4 7ES,020 3907 3526,020 3834 7950; 020 3907 3526,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Atlantic-Estates/London-134441.html,42302,"1 The Green,, 
London,, 
E4 7ES"
296348,Attic Self Storage,"Attic Self Storage, Barking",Barking,IG11 0TT,020 3917 4094,020 3917 4094,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Attic-Self-Storage/Barking-296348.html,97307,"Self Storage House,, 
806 Ripple Road,, 
Barking,, 
IG11 0TT"
241058,Auction House London,Auction House London,,NW3 6AL,020 7625 9007,020 7625 9007,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Auction-House-London-241058.html,15261,"5 Hampstead Gate, 1A Frognal, Hampstead, London, NW3 6AL"
84045,Aventure Property,"Aventure Property, Radiant House",Radiant House,IG6 3UT,020 8129 9039,020 8059 2178; 020 8129 9039,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Aventure-Property/Radiant-House-84045.html,27504,"Radiant House, , 
28-30 Fowler Road,, 
Hainault Business Park,, 
Ilford,, 
IG6 3UT"
259088,Ayers & Cruiks,"Ayers & Cruiks, Chelmsford",Chelmsford,CM2 6JY,01245 945231,01245 945231; 01245 945962,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Ayers-and-Cruiks/Chelmsford-259088.html,64964,"Burgundy Court , 
64/66 Springfield Road,, 
Chelmsford,, 
CM2 6JY"
93788,Ayers & Cruiks,"Ayers & Cruiks, Southend",Southend,SS2 6HZ,01702 967372,01702 967372,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Ayers-and-Cruiks/Southend-93788.html,36101,"86-88 Baxter Avenue,, 
Southend-On-Sea,, 
SS2 6HZ"
213308,Ayers & Cruiks,"Ayers & Cruiks, Southend",Southend,SS2 6HZ,01702 967362,01702 967362; 01702 967885,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Ayers-and-Cruiks/Southend-213308.html,64964,"86 - 88 Baxter Avenue,, 
Southend-On-Sea,, 
SS2 6HZ"
3074,B Bailey Property Management Ltd,"B Bailey Property Management Ltd, Ilford",Ilford,IG1 4LZ,020 3872 8960,020 3872 8960,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/B-Bailey-Property-Management-Ltd/Ilford-3074.html,726,"118/120 Cranbrook Road, 
, 
Ilford, 
Essex, IG1 4LZ"
269873,BNP Paribas Real Estate Advisory & Property Management UK Limited,"BNP Paribas Real Estate Advisory & Property Management UK Limited, Strutt & Parker, Chelmsford","Strutt & Parker, Chelmsford",CM1 2QF,01245 945140,01245 945033; 01245 945140,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/BNP-Paribas-Real-Estate-Advisory-and-Property-Management-UK-Limited/Strutt-and-Parker-Chelmsford-269873.html,34276,"Coval Hall, , 
Rainsford Road,, 
Chelmsford,, 
CM1 2QF"
218,Bairstow Eves,"Bairstow Eves, Barking",Barking,IG11 8EA,020 3835 3579,020 3835 3579,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Barking-218.html,45,"74 Station Parade, Barking, Essex, IG11 8EA"
219,Bairstow Eves,"Bairstow Eves, Barkingside",Barkingside,IG6 2AD,020 3869 5975,020 3869 5975,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Barkingside-219.html,45,"31 High Street, Barkingside, Ilford, Essex, IG6 2AD"
220,Bairstow Eves,"Bairstow Eves, Basildon",Basildon,SS14 1ET,01268 202635,01268 202635,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Basildon-220.html,45,"44 Southernhay, Basildon, Essex, SS14 1ET"
221,Bairstow Eves,"Bairstow Eves, Billericay",Billericay,CM12 9AH,01277 674183,01277 674183,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Billericay-221.html,45,"125 High Street, Billericay, Essex, CM12 9AH"
222,Bairstow Eves,"Bairstow Eves, Braintree",Braintree,CM7 1UY,01376 315826,01376 315826,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Braintree-222.html,45,"14 Great Square, Braintree, Essex, CM7 1UY"
223,Bairstow Eves,"Bairstow Eves, Brentwood",Brentwood,CM14 4AB,01277 674238,01277 674238,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Brentwood-223.html,45,"2 High Street, Brentwood, Essex, CM14 4AB"
225,Bairstow Eves,"Bairstow Eves, Burnham on Crouch",Burnham on Crouch,CM0 8BQ,01621 731481,01621 731481,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Burnham-on-Crouch-225.html,45,"20 Station Road, Burnham on Crouch, Essex, CM0 8BQ"
3780,Bairstow Eves,"Bairstow Eves, Chafford Hundred",Chafford Hundred,RM16 6EW,01375 803536,01375 803536,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Chafford-Hundred-3780.html,45,"Unit 2, 
Lakeside Business Village, 
Fleming Road,, 
Chafford Hundred,, 
Grays,, 
RM16 6EW"
276,Bairstow Eves,"Bairstow Eves, Chigwell",Chigwell,IG7 6PL,020 3879 4388,020 3879 4388,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Chigwell-276.html,45,"110, 
High Road, 
Chigwell, 
IG7 6PL"
229,Bairstow Eves,"Bairstow Eves, Clacton on Sea",Clacton on Sea,CO15 1SB,01255 440524,01255 440524,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Clacton-on-Sea-229.html,45,"67-69 Station Road Clacton-On-Sea, 
CO15 1SB"
231,Bairstow Eves,"Bairstow Eves, Collier Row",Collier Row,RM5 3NX,01708 202356,01708 202356,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Collier-Row-231.html,45,"20 Collier Row Road, Collier Row, Romford, Essex, RM5 3NX"
232,Bairstow Eves,"Bairstow Eves, Dagenham",Dagenham,RM10 8QS,020 3866 8895,020 3866 8895,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Dagenham-232.html,45,"252 Heathway, Dagenham, Essex, RM10 8QS"
236,Bairstow Eves,"Bairstow Eves, Elm Park",Elm Park,RM12 4RN,01708 984088,01708 984088,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Elm-Park-236.html,45,"38 The Broadway, Elm Park, Hornchurch, Essex, RM12 4RN"
8813,Bairstow Eves,"Bairstow Eves, Fryerns",Fryerns,SS14 3JT,01268 202646,01268 202646,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Fryerns-8813.html,45,"106 Whitmore Way,, 
Basildon,, 
SS14 3JT"
240,Bairstow Eves,"Bairstow Eves, Grays",Grays,RM17 5HJ,01375 803553,01375 803553,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Grays-240.html,45,"45 Orsett Road, Grays, Essex, RM17 5HJ"
243,Bairstow Eves,"Bairstow Eves, Hornchurch",Hornchurch,RM11 1RH,01708 204792,01708 204792,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Hornchurch-243.html,45,"16 North Street, Hornchurch, Essex, RM11 1RH"
251,Bairstow Eves,"Bairstow Eves, Rainham",Rainham,RM13 9YS,01708 973283,01708 973283,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Rainham-251.html,45,"33 Upminster Road South, Rainham, Essex, RM13 9YS"
252,Bairstow Eves,"Bairstow Eves, Rayleigh",Rayleigh,SS6 7BY,01268 202735,01268 202735,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Rayleigh-252.html,45,"110 High St, Rayleigh, Essex, SS6 7BY"
253,Bairstow Eves,"Bairstow Eves, Romford",Romford,RM1 1TE,01708 961674,01708 961674,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Romford-253.html,45,"132 South Street, , 
Romford,, 
Essex,, 
RM1 1TE"
258,Bairstow Eves,"Bairstow Eves, South Ockendon",South Ockendon,RM15 5EH,01708 205245,01708 205245,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/South-Ockendon-258.html,45,"125 Daiglen Drive, 
South Ockendon, 
RM15 5EH"
260,Bairstow Eves,"Bairstow Eves, Southend-on-Sea",Southend-on-Sea,SS1 2PQ,01702 967948,01702 967948,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Southend-on-Sea-260.html,45,"373 Southchurch Road, Southend on Sea, Essex, SS1 2PQ"
269,Bairstow Eves,"Bairstow Eves, Witham",Witham,CM8 2AR,01376 311537,01376 311537,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Witham-269.html,45,"40 Newland Street,, 
Witham,, 
CM8 2AR"
598,Bairstow Eves,"Bairstow Eves, Woodford Green",Woodford Green,IG8 0XG,020 3835 6392,020 3835 6392,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Woodford-Green-598.html,45,"411 - 413 High Road, Woodford Green, Essex, IG8 0XG"
89474,Bairstow Eves Lettings,"Bairstow Eves Lettings, Barking",Barking,IG11 8EA,020 3910 6783,020 3910 6783,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves-Lettings/Barking-89474.html,1500,"74 Station Parade,, 
Barking,, 
IG11 8EA"
